relation_id	relation_name	relation_pos	words	sentences_before	sentences_after
RELATION_GENEHPOTERM_SCPDFS_40663.pdf_465_465_111,111_153,153	KIAA0164/HP:0001909|Leukemia	{111,153}	{Alpha-2,glycoprotein,",",zinc,(,2,),Autoantigen,",",64kD,(,thyroid,),BBC1,",",basic,breast,conserved,protein,(,2,),BRCA1,",",Rho7,and,Vatl,genes,BRCA2,region,",",mRNA,sequence,CG037,(,2,),Calreticulin,CDEI,binding,protein,(,3,),Collagenase-like,protein,",",pM5,Cysteine-rich,protein,(,CRP,),(,3,),Early,response,gene,Tisl1d,Epididymal,secretory,protein,HE-1,Fau,(,2,),Finger,protein,HF12,Glucose-regulated,protein,GRP-78,Glycoprotein,APK1,",",mesothelin,HCG,V,(,candidate,Hemochromatosis,Gene,V,),Heat,resistant,factor,",",l4kD,Helicase,H,(,RAD54L,),Highly,basic,protein,",",23kD,(,2,),Hypothetical,protein,",",KIAA0038,Hypothetical,protein,",",KIAA0164,(,2,),Hypothetical,protein,",",KIAA0183,Hypothetical,protein,",",KIAA0187,Hypothetical,protein,",",KIAA0217,(,2,),Int-6,Interferon-gamma,IEF,SSP,5111,Interferon-inducible,gene,",",1-8D,Lysosomal-associated,membrane,glycoprotein,Matrix,Gla,protein,Membrane,cofactor,protein,Myc,interacting,protein,DJ-1,Myelodysplasia/myeloid,leukemia,factor,2,Nascent,polypeptide-associate,complex,(,NAC,),NRU,protein,",",N-ras,5,’,-,region,Nuclear,phosphoprotein,",",set,Perkinjie,cell,protein,4,",",PEP19,Progression,associated,protein,Proline,rich,protein,",",B4-2,Prothymosin,alpha,Set,Smooth,muscle,protein,22,kDa,(,2,),T-ALL,translocation,associated,gene,",",TCTA,T-cell,ALL,antigen,",",TALLA-1,Testis,enhanced,gene,transcript,(,2,),TGF-B,stimulated,gene,TSC-22}	{"Gene description “","Ornithine decarboxylase Ornithine decarboxylase antizyme Phospholipase A2 Prolyl 4-hydroxylase beta Propionyl CoA carboxylase beta subunit Prosaposin Prostaglandin D synthase ( 2 ) Protein phosphatase 1 beta ( 2 ) Protein phosphatase-1 catalytic subunit Spermidine/spermine N1-acetyltransferase Succinyl CoA synthetase Transaldolase ( 2 ) Ubiquinol cytochrome-c reductase core I Ubiquinone-binding protein , QP-C Uracil-DNA glycosylase Uridine diphosphoglucose pyrophosphorylase"}	{"20 NELSON ET AL. .","PN001 EST ID Accession No. ."}
RELATION_GENEHPOTERM_journal.pone.0039272.pdf_44_44_57,57_52,53	insulin/HP:0000855|Insulin resistance	{57,52,53}	{The,mesh-terms,or,key,words,(,‘,hepatitis,C,’,OR,‘,chronic,hepatitis,C,’,OR,‘,hepatitis,c,virus,’,),AND,(,‘,glucose,’,OR,‘,glucose,abnormalities,’,OR,‘,hyperglycemia,’,OR,‘,prediabetes,’,OR,‘,diabetes,mellitus,’,OR,‘,insulin,’,OR,‘,insulin,resistance,’,OR,‘,insulin,deﬁciency,’,),AND,(,‘,interferon,alpha,’,OR,‘,peginterferon,alpha,’,OR,‘,interferon,alfa,’,OR,‘,peginterferon,alfa,’,OR,‘,IFN,’,),were,used,to,obtain,the,search,string,.}	{Methods,"Searching of the Relevant Databases We conducted a search of the medical literature for articles published between January 1990 and April 2011 using PubMed , Embase , and Google ."}	{"Selection The meta-analysis was performed using summary data .","No restrictions were placed on sample size , or population ."}
RELATION_GENEHPOTERM_journal.pone.0077003.pdf_449_449_11,11_19,20	insulin/HP:0000819|Diabetes mellitus	{11,19,20}	{Shepherd,PR,",",Kahn,BB,(,1999,),Glucose,transporters,and,insulin,action,4,implications,for,insulin,resistance,and,diabetes,mellitus,.}	{"Uldry 1 \\\\ ’ I , Thorens B ( 2004 ) The SLC2 family of facilitated hexose and polyol transporters .","Piltigers Arch - EurJ Physiol 447 : 4804489 ."}	{"N Eng1J 1VIed 341 : 2484 257 .","Haber RS , VVeinstein SP , O’Boyle E , 1\\\\/Iorgello S ( 1993 ) Tissue distribution of the human GLUT3 glucose transporter ."}
RELATION_GENEHPOTERM_journal.pone.0047812.pdf_681_681_27,27_32,32	ALK/HP:0003006|Neuroblastoma	{27,32}	{Nlosse,YP,",",Laudenslager,l,"\\\\",’,I,",",Longo,L,",",Cole,KA,",","\\\\",/,Vood,A,",",et,al.,(,2008,),Identiﬁcation,of,ALK,as,a,major,familial,neuroblastoma,predisposition,gene,.}	{"Genes Chromosomes Cancer 43 : 3904403 .","doi : 10.1002 / gcc .20198 ."}	{"Nature 455 : 9304935 .","doi : l0 .1038 / nature07261 ."}
RELATION_GENEHPOTERM_SCPDFS_40412.pdf_316_316_18,18_12,13	APP/HP:0002511|Alzheimer disease	{18,12,13}	{Only,about,5,%,of,cases,of,the,early-onset,familial,form,of,Alzheimer,disease,could,be,attributed,to,APP,mutations,.}	{"All of the gene — phenotype associations of HC21 genes were discovered during the lifetime of Genomics .","The APP ( amyloid precursor protein ) ( MIM 104760 ) is mutated in some rare forms of autosomal dominant familiar Alzheimer disease ( AD1 ) since certain amino acid substitutions segregate with early-onset disease in some families ( e.g. , Goate et al. , 1991 ) ."}	{"Furthermore , mutations at Glu693 cause the Dutch type of cerebroarterial amyloidosis , an autosomal dominant disease with recurrent hemorrhages and amyloid deposition in the brain ( Levy et al. , 1990 ) .","More recently it has been shown that there are frameshift mutations in APP transcripts in nonfamilial early — and late-onset forms Alzheimer disease and Down patients with Alzheimer disease ( van Leeuwen et al. , 1998 ) ."}
RELATION_GENEHPOTERM_journal.pone.0075489.pdf_142_142_20,20_84,86	NRAS/HP:0006731|Follicular thyroid carcinoma	{20,84,85,86}	{ori,3.1,B-CPAP,TPC1,WRO,FTC133,Origin,Normal,thyroid,PTC,PTC,FTC,FTC-LNM,BRAF,nd,V600E,wt,wtN600E,*,wt,NRAS,nd,wt,wt,wt,wt,HRAS,nd,wt,wt,wt,wt,KRAS,nd,wt,wt,wt,wt,PI3KCA,nd,wt,wt,wt,wt,PTEN,nd,wt,wt,wt,R130stop,TP53,nd,D259Y,wt,wt,R273H,RET/PTC1,nd,-,+,RET/PTC3,nd,-,-,PAX8/PPARg,nd,PTC,",",Papillary,Thyroid,Carcinoma,;,FTC,",",Follicular,Thyroid,Carcinoma,;,FTC-LNM,",",Lymph,Node,Metastasis,from,Follicular,Thyroid,Carcinoma,;,nd,",",not,determined,;,wt,",",wild-type,;,*,BRAF,V6OOE,mutation,in,WRO,cell,line,is,reported,only,by,some,authors,;,+,presence,of,rearrangement,;,-,absence,of,rearrangement,(,modiﬁed,from,Saiselet,et,al.,2012,),[,21,],.}	{"Origin and mutational status of thyroid — derived cell lines .","Cell line Nthy ."}	{"doi : 10.1371 / journal .","pone .0075489 ."}
RELATION_GENEHPOTERM_journal.pone.0065371.pdf_833_833_18,20_11,11	brain-derived_neurotrophic_factor/HP:0003006|Neuroblastoma	{18,19,20,11}	{Serres,F,",",Carney,SL,(,2006,),Nicotine,regulates,SH-SY5Y,neuroblastoma,cell,proliferation,through,the,release,of,brain-derived,neurotrophic,factor,.}	{"Konig R , Chiang CY , Tu BP , Yan SF , DeJesus PD , et al. ( 2007 ) A probability1 ) ased approach for the analysis of large-scale RNAi screens .","Nat 1 \\\\ ’ Iethods 4 : 8474849 ."}	{"Brain Res 1101 : 36442 .","Schecterson LC , Bothwell l \\\\ ’ I ( 2010 ) Neurotrophin receptors : Old friends with new partners ."}
RELATION_GENEHPOTERM_journal.pone.0079721.pdf_220_220_7,7_35,35	PTH/HP:0002901|Hypocalcemia	{7,35}	{However,",",the,inhomogeneous,reduction,of,serum,PTH,levels,in,the,PTx,+,Nx,animals,is,probably,due,to,low,sensitivity,of,the,PTH,assay,in,the,hypoparathyroid,range,",",or,it,is,due,to,hypocalcemia,",",that,may,have,stimulated,some,small,remnant,gland,in,some,animals,",",since,PTH,levels,were,measured,after,8,weeks,of,PTx,.}	{"PLOS ONE | www .","p | osone.org successful extirpation of the parathyroid glands , as already described by other authors [ 30,31 ] ."}	{"Nevertheless , histomorphometry demonstrated low bone remodeling , dismissing any possibility of bone effects of hyperparathyroidism .","Decreased levels of serum FGF23 resulted from PTx and this observation is in agreement with previously reports [ 32,33 ] ."}
RELATION_GENEHPOTERM_journal.pone.0079721.pdf_220_220_7,7_35,35	PTH/HP:0002901|Hypocalcemia	{7,35}	{However,",",the,inhomogeneous,reduction,of,serum,PTH,levels,in,the,PTx,+,Nx,animals,is,probably,due,to,low,sensitivity,of,the,PTH,assay,in,the,hypoparathyroid,range,",",or,it,is,due,to,hypocalcemia,",",that,may,have,stimulated,some,small,remnant,gland,in,some,animals,",",since,PTH,levels,were,measured,after,8,weeks,of,PTx,.}	{"PLOS ONE | www .","p | osone.org successful extirpation of the parathyroid glands , as already described by other authors [ 30,31 ] ."}	{"Nevertheless , histomorphometry demonstrated low bone remodeling , dismissing any possibility of bone effects of hyperparathyroidism .","Decreased levels of serum FGF23 resulted from PTx and this observation is in agreement with previously reports [ 32,33 ] ."}
RELATION_GENEHPOTERM_journal.pone.0098270.pdf_13_13_2,2_5,5	MLL/HP:0001909|Leukemia	{2,5}	{Exposure,of,MLL,—,rearranged,leukemia,cells,to,this,compound,caused,cell,cycle,arrest,and,promoted,differentiation,of,those,cells,",",both,morphologically,and,by,increased,CD14,expression,.}	{"SYC — 522 significantly inhibited methylation at H3K79 , but not H3K4 or H3K27 , and decreased the expression of two important | eukemia — re | evant genes , HOXA9 and MEISI , by more than 50 % .","It also significantly reduced the expression of CCND1 and BCLZLI , which are important regulators of cell cycle and anti — apoptotic signaling pathways ."}	{"SYC — 522 did not induce apoptosis , even at 10 uM for as long as 6 days .","However , treatment with this DOT1L inhibitor decreased the colony formation ability of primary MLL — rearranged AML cells by up to 50 % , and promoted monocytic differentiation ."}
RELATION_GENEHPOTERM_SCPDFS_39167.pdf_184_184_25,25_43,43	CHM/HP:0001139|Choroideremia	{25,43}	{As,an,example,of,puzzling,associations,of,a,gene,with,translocations,",",two,breakpoints,associated,with,POF,[,"24,25",],fall,within,the,choroideremia,(,CHM,),gene,and,cause,that,disease,;,but,point,mutations,in,the,gene,",",which,also,cause,choroideremia,",",have,no,effect,on,female,fertility,[,26,],.}	{"However , the first POF-associated lesions analyzed have not offered unequivocal support of this notion .","The findings remain sporadic , as the genes uncovered do not show particular expression in the ovary and none have a clear-cut involvement in an ovarian developmental pathway ."}	{"Previously two translocations associated with POF were analyzed further .","The first [ 27 ] falls in a highly transcribed region , and interrupts a human homologue of the Drosophila melanogaster gene diaphzmous ."}
RELATION_GENEHPOTERM_journal.pgen.1002325.pdf_462_462_25,25_30,30	SCA28/HP:0001251|Ataxia	{25,30}	{Edener,U,",",VVollnerJ,",",Hehr,U,",",Kohl,Z,",",Schilling,S,",",et,al.,(,2010,),Early,onset,and,slow,progression,of,SCA28,",",a,rare,dominant,ataxia,in,a,large,four-generation,family,with,a,novel,AFG3L2,mutation,.}	{"Hum 1\\\\/lutat 31:1117 — 1124 .","5 ."}	{"EurJ Hum Genet 18 : 9654968 .","6 ."}
RELATION_GENEHPOTERM_journal.pone.0076831.pdf_575_575_15,15_71,71	P1/HP:0001251|Ataxia	{15,71}	{In,the,present,study,",",6,children,(,F1,[,P1,],",",F2,[,P1,and,P2,],",",F3,[,P1,and,P2,],and,F4,[,P1,],),[,Table,1,],had,classic,INAD,phenotype,with,onset,within,the,first,2,years,of,life,",",hyperreflexia,and,tetraparesis,(,See,Video,81,),leading,to,loss,of,ambulation,within,5,years,[,"5,6",],",",with,ataxia,being,the,earliest,appearing,symptom,.}	{Discussion,"The present cohort represents one of the largest collections of patients from one country and the same ethnic background ( Arabs ) with neurodegeneration associated with PLA2G6 mutations ."}	{"A seventh patient ( F5 [ P1 ] ) [ Table 1 ] , manifested atypical NAD with slower progression of the disease , ataxia and remarkable spasticity , and contracture deformities of the lower limbs which required surgical release .","The phenotype of the remaining 4 patients from a single family ( F6 ) [ Table 1 ] is nearest to that of Karak syndrome [ 1 ] ."}
RELATION_GENEHPOTERM_journal.pone.0000018.pdf_18_18_10,10_0,0	JAK2/HP:0001901|Polycythemia	{10,0}	{Polycythemia,and,reticulocytosis,responded,to,treatment,with,imatinib,or,a,JAK2,inhibitor,",",but,were,unresponsive,to,the,Src,inhibitor,dasatinib,.}	{"The polycythemia tended to resolve after several months , coincident with increased spleen and marrow fibrosis , but was resurrected by transplantation to secondary recipients .","Using donor mice with mutations in Lyn , Hck , and Fgr , we demonstrated that the polycythemia was independent of Src kinases ."}	{"Conclusions .","These findings demonstrate that JAK2 V617F induces Epo-independent expansion of the erythroid lineage in vivo ."}
RELATION_GENEHPOTERM_journal.pone.0026023.pdf_781_781_34,34_38,39	p53/HP:0003002|Breast carcinoma	{34,38,39}	{Han,JS,",",Cao,D,",",RIolberg,KH,",",Sarode,VR,",",Rao,R,",",et,al.,(,2011,),Hormone,receptor,status,rather,than,HER2,status,is,significantly,associated,with,increased,Ki-67,and,p53,expression,in,triple-negative,breast,carcinomas,",",and,high,expression,of,Ki,~,67,but,not,p53,is,significantly,associated,with,axillary,nodal,metastasis,in,triple-negative,and,high,~,grade,non,~,triple,~,negative,breast,carcinomas,.}	{"Song G , Bazer FVV , VVagner GF , Spencer TE ( 2006 ) Stanniocalcin ( STC ) in the endometrial glands of the ovine uterus : regulation by progesterone and placental hormones .","Biol Reprod 74 : 9l3 — 922 ."}	{"AmJ Clin Pathol 135 : 2304237 .","Hu Z , Huang G , Sadanandam A , Gu S , Lenburg l \\\\ IE , et al. ( 2010 ) The expression level of HJURP has an independent prognostic impact and predicts the sensitivity to radiotherapy in breast cancer ."}
