mention_id	entity_name	mention_pos	words	sentences_before	sentences_after
MENTION_HPOTERM_journal.pone.0048992.pdf_235_10_10	HP:0001909|Leukemia	{10}	{Valproic,acid,—,modu,|,ated,phosphoproteins,from,BNML,rat,leukemia,progressive,disease,.}	{"To extract the common processes reﬂected in all","Table 1 ."}	{"Decyder Protein Analysis","Synthetic lethality"}
MENTION_HPOTERM_journal.pgen.1003768.pdf_33_9_9	HP:0002097|Emphysema	{9}	{The,observation,that,people,with,this,deﬁciency,developed,early-onset,emphysema,and,COPD,suggested,a,role,for,pathways,involving,AAT,in,pathogenesis,(,summarized,in,Figure,1,),.}	{"Since rare variant analysis is a topic of great interest to genetic epidemiologists at present , it is worth reprising how understanding AATD has moved clinical medicine forward .","It was ﬁrst described in 1963 by Laurell and Eriksson , who reported an absence of the 0:1 band on protein electrophoresis of serum taken from a patient at a local respiratory hospital [ 4 ] , this missing band was due to very low circulating levels of AAT ."}	{"The main function of AAT is as an anti-protease , which protects tissues against neutrophil elastase ( NE ) [ 5 ] , the protease — antiprotease hypothesis of emphysema resulted directly from this knowledge and has driven much of the research into COPD .","Clinically signiﬁcant AATD-related lung disease occurs in approximately 1 in 2,500 Caucasian individuals who usually carry the PiZ or PiS variants of SERPZNAI ; importantly , both SNPs confer an increased risk of lung disease in carriers who smoke and in homozygous individuals who do not smoke [ 6 ] ."}
MENTION_HPOTERM_journal.pone.0056897.pdf_71_1_7	HP:0002354|Memory impairment	{1,7}	{CFC,memory,consolidation,was,found,to,be,impaired,after,the,infusion,of,a,synthetic,peptide,that,interferes,with,NCAM,function,[,44,],",",but,it,was,found,to,be,improved,after,the,infusion,of,another,peptide,that,corresponds,to,the,binding,site,of,NCAM,for,the,fibroblast,growth,factor,receptor,1,[,45,],.}	{"In fear conditioning , NCAM KO mice show deﬁcits in contextual [ 38,39 ] and auditory [ 38,40 ] fear memories .","Conversely , increased hippocampal expression of NCAM , PSANCAM and LINCAM was observed 24 h after CFC training in rats [ 4l ,42,43 ] ."}	{"Although no information exists for NCAM or LICAM regarding their role in different hippocampal areas , modulation of PSANCAM expression by CFC was found to be upregulated in the dorsal , but not ventral , hippocampus at the 24 h post-training time point , while PSA depletion in the dorsal , but not ventral , hippocampus resulted in impaired CFC memory consolidation [ 43 ] .","Although the functional roles of nectins are largely unknown , recent evidence suggests their potential involvement in hippocampal function [ 46 ] ."}
MENTION_HPOTERM_journal.pone.0059718.pdf_497_19_21	HP:0005959|Impaired gluconeogenesis	{19,21}	{Yao,XH,",",Chen,L,",",Nyomba,BL,(,2006,),Adult,rats,prenatally,exposed,to,ethanol,have,increased,gluconeogenesis,and,impaired,insulin,response,of,hepatic,gluconeogenic,genes,.,]}	{"Probyn l \\\\ ’ IE , Zanini S , VVard LC , Bertram ] F , 1VIoritz KlVI ( 2012 ) A rodent model of low - to moderate-dose ethanol consumption during pregnancy : patterns of ethanol consumption and effects on fetal and offspring growth .","Reprod F ertil Dev Accepted ] an 23rd ."}	{"Appl Physiol 100 : 6424648 .","VVard LC ( 2009 ) Assessment of body composition of rats by bioimpedance spectroscopy : Validation against a dual-energy X-ray absorptiometry ."}
MENTION_HPOTERM_journal.pone.0009710.pdf_33_16_16	HP:0000501|Glaucoma	{16}	{Automated,visual,ﬁeld,assessment,is,the,principal,functional,measurement,in,the,clinical,management,of,patients,with,glaucoma,.}	{"Glaucoma is a chronic progressive neuropathy involving the visual pathway : it is the most common cause of irreversible blindness in the world and a leading cause of visual morbidity .","Given its chronic progressive nature , the rise in prevalence with age and the increasing longevity of the population , the impact of the disease is substantial and rising ."}	{"However , insight into how visual ﬁeld defects manifesting at different stages in the disease process impact on patients ’ everyday visual function is only recently gaining momentum in the research literature .","Linking the clinical measurements to what patients can do functionally is important"}
MENTION_HPOTERM_journal.pone.0088795.pdf_535_41_41	HP:0003006|Neuroblastoma	{41}	{Norris,l,"\\\\",’,ID,",",Burkhart,CA,",",lVIarshall,GNI,",","\\\\",/,Veiss,VVA,",",Haber,NI,(,2000,),Expression,of,N-myc,and,NIRP,genes,and,their,relationship,to,N-myc,gene,dosage,and,tumor,formation,in,a,murine,neuroblastoma,model,.}	{"Europeanjournal of Cancer 40 : 2639 — 2642 .","12 ."}	{"l \\\\ ’ Ied Pediatr Oncol 35 : 585 — 589 .","13 ."}
MENTION_HPOTERM_journal.pone.0025634.pdf_484_32_33	HP:0012125|Prostate cancer	{32,33}	{Bianco-lVIiotto,T,",",Chiam,K,",",Buchanan,G,",",Jindal,S,",",Day,TK,",",et,al.,(,2010,),Global,levels,of,speciﬁc,histone,modiﬁcations,and,an,epigenetic,gene,signature,predict,prostate,cancer,progression,and,development,.}	{"Perry AS , Foley R , VVoodson K , Lawler N1 ( 2006 ) The emerging roles of DNA methylation in the clinical management ofprostate cancer .","Endocr Relat Cancer 13 : 3574377 ."}	{"Cancer Epidemiol Biomarkers Prev 19 : 261142622 .","Brothman AR , Swanson G , Nlaxwell Tl \\\\ ’ I , Cui J , l \\\\ ’ Iurphy KJ , et al. ( 2005 ) Global hypomethylation is common in prostate cancer cells : a quantitative predictor for clinical outcome ?"}
MENTION_HPOTERM_SCPDFS_32852.pdf_20_114_114	HP:0100242|Sarcoma	{114}	{Abbreviations,:,ALV,",",avian,leukosis,virus,;,AMV,",",avian,myeloblastosis,virus,;,ASLV,",",avian,sarcoma-leukemia,virus,(,es,),;,bp,",",base,pair,(,s,),;,CAT,",",Cm,acetyltransferase,;,Cm,",",chloramphenicol,;,DR,",",direct,repeat,;,HTLV,",",human,T-cell,leukemia,virus,;,IR,",",inverted,repeat,;,kb,",",kilobase,(,s,),or,1000,bp,;,LPD,",",lymphoproliferative,disease,;,LPDV,",",LPD,virus,;,Mo-MLV,",",Moloney,murine,leukemia,virus,;,nt,",",nucleotide,(,s,),;,PBS,",",primer-binding,site,;,PPT,",",polypurine,tract,;,R,",",terminal,redundancy,;,REV,",",reticuloendotheliosis,virus,;,RSV,",",Rous,sarcoma,virus,;,SDS,",",sodium,dodecyl,sulfate,;,SNV,",",spleen,necrosis,virus,;,tsp,",",transcription,start,point,(,s,),;,U3,and,US,",",unique,3,’,and,5,’,end,regions,",",respectively,.}	{"However ,","Correspondence to : Dr. A. Gazit , Department of Human Microbiology , Sackler School of Medicine , Tel-Aviv University , Tel-Aviv 69978 ( Israel ) Tel. ( 972-3 ) 545-9869 ; Fax ( 972-3 ) 412262 ."}	{"0378-1119/91 / $ 03.50 © 1991 Elsevier Science Publishers B.V.","structural , biochemical and genetic studies have established a distinct retrovirus , accordingly named LPDV , as the etiologic agent of the disease ( McDougall et al. , 1978 ; Yaniv et al. , 1979 ; Gazit et al. , 1979 ) ."}
MENTION_HPOTERM_journal.pone.0061070.pdf_29_21_25	HP:0012075|Personality disorder	{21,25}	{[,l,],Serious,and,repeated,anti-social,behaviour,during,adolescence,can,persist,into,adulthood,",",with,conversion,rates,from,childhood,conduct,disorder,to,adult,antisocial,personality,disorder,estimated,to,be,between,40,and,70,°,/,o.,[,2,],Effective,prevention,strategies,are,therefore,required,.}	{"Treatment of young offenders has become a critical issue on the policy agenda , mainly because of the considerable social and economic costs incurred by this population .","Crimes committed by young people are a substantial ﬁnancial burden for the criminal justice system and for education , health and social services ."}	{"Multisystemic therapy ( MST ) is an intensive home and community-based intervention that uses evidence-based interventions to intervene directly in the systems and processes related to the young person ’s antisocial behaviour , for example , low parental monitoring , low school involvement and delinquent peer association .","[ 3 ] Outcomes include reduced offending and antisocial behaviour , improved family , peer and school functioning and the prevention of the young person being placed out of home ."}
MENTION_HPOTERM_journal.pone.0099533.pdf_211_2_2	HP:0002861|Melanoma	{2}	{factors,of,melanoma,[,41,],",",and,the,incidence,of,malignant,melanoma,has,increased,noticeably,in,recent,decades,[,42,],.}	{"Abbrevations : RR , relative risk ; aRR , adjusted relative risk ; CI , conﬁdence interval .","* Adjusted for education ."}	{"Melanoma has been reported to be more common in Scandinavian countries and to have female predominance [ 43 ] .","In our study , tinea pedis ( 26 % ) was more frequent than previously reported ( 5-15 % ) in other industrial countries [ 6 ] , [ 44 ] ."}
MENTION_HPOTERM_journal.pone.0017141.pdf_377_15_18	HP:0002890|Thyroid carcinoma	{15,18}	{VVells,SA,",",],r.,",",Franz,C,(,2000,),1,"\\\\",’,Iedullary,carcinoma,of,the,thyroid,gland,.}	{"pp 51 — 6 .","2 ."}	{"VVorld ] Surg 24 : 95246 .","3 . ]"}
MENTION_HPOTERM_journal.pmed.1001634.pdf_59_1_1	HP:0001297|Stroke	{1}	{Potential,strokes,identiﬁed,in,medical,records,were,reviewed,by,research,physicians,",",and,veriﬁed,by,an,experienced,stroke,neurologist,(,P.,J.,K.,),[,10,],.}	{"Nursing home physicians ’ records and records from the general practitioners of participants who moved out of the district were checked on a regular basis as well .","Additional information was obtained from hospital records ."}	{"A stroke was subclassiﬁed as ischemic if a CT or MRI scan conﬁrmed the diagnosis , or if indirect evidence ( deﬁcit limited to one limb or completely resolved within 72 h , atrial ﬁbrillation in absence of anticoagulants ) pointed at the stroke having an ischemic nature .","A stroke was subclassiﬁed as hemorrhagic if a relevant hemorrhage was present on the CT or MRI scan ."}
MENTION_HPOTERM_journal.pone.0002750.pdf_454_24_26	HP:0002511|Alzheimer disease	{24,26}	{complex,unbiased,analysis,performed,",",it,is,interesting,to,note,that,the,two,signiﬁcantly,co-upregulated,(,cortex,and,hippocampus,),signaling,pathways,include,the,Alzheimer,’s,disease,pathway,and,the,neurodegenerative,disorders,pathway,(,Fig,.}	{"OO02750 .",gOO5}	{"12 ) .","The presence of these two pathways conﬁrms the validity of mass protein analytical techniques combined with unbiased multiprotein annotation in predicting functional groups from complex tissue samples ."}
MENTION_HPOTERM_journal.pone.0023581.pdf_589_17_19	HP:0002890|Thyroid carcinoma	{17,19}	{Table,S3,List,of,genes,(,ﬁnal,stable,signature,),discrin1inating,sporadic,thyroid,papillary,carcinomas,from,post-Chernobyl,thyroid,papillary,carcinomas,.}	{": unclassiﬁed .","( DOC )"}	{"The signature was determined from a published dataset retrieved from the GEO database ( http : / / www.ncbi.nlm.nih.gov/geo , accession number GSE3950 ) .","Differential gene expression values were calculated in the validation space as the average of log ( post-Chernobyl PTC gene expression ) minus the average of log ( sporadic PTC gene expression ) , with the corresponding p value ."}
MENTION_HPOTERM_journal.pone.0061108.pdf_540_34_34	HP:0002039|Anorexia	{34}	{Castro-Fornieles,],",",Caldu,X,",",Andres-Perpiﬁa,S,",",Lazaro,L,",",Bargallo,N,",",et,al.,(,2010,),A,cross-sectional,and,follow-up,functional,MRI,study,with,a,working,memory,task,in,adolescent,anorexia,nervosa,.}	{"Oberndorfer TA , Kaye VVH , SiI1 ’ lII10I1S AN , Strigo IA , Matthews SC ( 2011 ) Demand — specific alteration of medial prefrontal cortex response during an inhibition task in recovered anorexic women .","Int ] Eat Disord 44 : 1 — 8 ."}	{"Neuropsychologia 48 : 41 1 1 — 41 16 .","Lock ] , Garrett A , Beenhakker ] , Reiss AL ( 2011 ) Aberrant brain activation during a response inhibition task in adolescent eating disorder subtypes ."}
MENTION_HPOTERM_journal.pone.0065518.pdf_779_33_35	HP:0007868|Age-related macular degeneration	{33,34,35}	{Yoshida,T,",",Ohno-1,"\\\\",’,Iatsui,K,",",Ichinose,S,",",Sato,T,",",Iwata,N,",",et,al.,(,2005,),The,potential,role,of,amyloid,B,in,the,pathogenesis,of,age-related,macular,degeneration,.}	{"J Neurosci 27 : 4052 — 4060 .","5 ."}	{"J Clin Invest 115 : 2793 — 2800 .","6 ."}
MENTION_HPOTERM_journal.pmed.0020370.pdf_171_1_7	HP:0000854|Thyroid adenoma	{1,7}	{Toxic,adenomas,are,benign,neoplasms,of,the,thyroid,that,are,autonomous,.}	{"With the passage of time serum TSH declines and may become undetectable until at a later stage serum free thyroid hormones rise .","The hyperthyroidism of TMNG is usually mild and tends to occur in middle life or later ."}	{"In some cases they arise because of somatic mutations that lead to constitutive activation of the TSH receptor .","As with TMNG , the hyperthyroidism tends to be mild ."}
MENTION_HPOTERM_SCPDFS_31239.pdf_126_56_56	HP:0001909|Leukemia	{56}	{Interestingly,",",however,",",the,rat,TN,F,-,/,3,does,not,have,a,poly,(,dA-dT,),upstream,activating,sequence,in,its,5,’,ﬂanking,region,",",which,is,reported,to,be,recognized,in,the,murine,TN,F,-,B,promoter,by,the,HMGI-like,protein,",",which,regulates,constitutive,TNF-ﬂ,expression,in,Abelson,murine,leukemia,virustransformed,pre,B,—,cell,lines,(,Fashena,et,al.,",",1992,),.}	{"The deduced aa sequence of TN F - B is highly conserved between rat and mouse ( 96.5 % ) , rabbit ( 86.6 % ) , porcine ( 85.1 % ) , or human ( 82.7 % ) .","The 5 ’ ﬂanking sequence of the rat TNF - [ 3 shows high homology ( 90.2 % ) to that of the mouse gene compared with the other species , suggesting that the T N F - [ 3 of rat and mouse may be regulated by similar mechanisms ."}	{"This poly ( A ) sequence is also absent in human , porcine , and rabbit TN F -17 .","Sp-1 and NF-KB binding sites are found near the putative tsp ( 59 and -92 from the tsp , respectively ) ."}
MENTION_HPOTERM_journal.pone.0083380.pdf_161_6_6	HP:0002666|Pheochromocytoma	{6}	{Earlier,reports,have,shown,that,the,pheochromocytoma,cell,line,",",PC,1,2,",",expressed,the,highest,level,of,TRK,.}	{"— .","A between 50 — 1000 fold , compared to normal adrenal tissues ."}	{"— .","A among numerous in vitro cellular systems examined , corroborating these ﬁndings [ 27 ] ."}
MENTION_HPOTERM_journal.pone.0023876.pdf_51_27_27	HP:0002014|Diarrhea	{27}	{In,V.,c/zolerae,O37,serogroup,strain,V52,",",T6SS,is,required,for,full,virulence,towards,Dictyostelium,amoebae,and,J774,macrophages,[,5,],and,for,the,inﬂammatory,diarrhea,in,infant,mice,[,25,],.}	{"Orally ingested bacteria colonize the intestinal epithelium through expression of toxin co-regulated pili ( TCP ) which in turn is coordinately regulated with cholera toxin ( CT ) , the enterotoxin responsible for the bulk of the secretory diarrhea observed during disease progression [ 24 ] .","Besides these classic virulence factors , T6SS was recently implicated as a virulence determinant of V. c/zaleme using Dicgzostelium discoideum , mouse and rabbit as model systems [ 5,25,26 ] ."}	{"In the seventh pandemic O1 El Tor strain C6706 , T6SS contributes to fecal diarrhea and intestinal inﬂammation in infant rabbits [ 26 ] .","In addition , T6SS in V. c/zolerae displays antimicrobial properties and can cause up to a 100,000 fold reduction in Escherichia Cali K12 survival when they cocultivated with V. c/zoleme strain V52 on solid agar media [ 9 ] ."}
MENTION_HPOTERM_journal.pone.0072907.pdf_55_7_7	HP:0002486|Myotonia	{7}	{Additionally,we,found,improvement,in,skeletal,muscle,myotonia,and,splicing,defects,after,over-expression,of,MBNL1,",",revealing,the,possible,role,of,MBNL1,deﬁciency,in,the,pathology,of,these,mice,and,also,demonstrating,the,potential,of,this,mouse,model,for,testing,compounds,aimed,at,treating,the,disease,phenotypes,associated,with,DM1,.}	{"In this study we have developed a mouse model of early-induction DM1 ( EDM1 ) with clinical features that resemble the human condition .","In these mice , the early age of disease onset leads to a markedly more severe disease phenotype when compared to mice in which RNA toxicity is induced after they reach adulthood ."}	{"Materials and Methods","Mouse Lines All procedures involving experimental animals were performed in compliance with the University of Virginia and local animal welfare laws , guidelines and policies ."}
MENTION_HPOTERM_journal.pone.0036587.pdf_308_24_25	HP:0001402|Hepatocellular carcinoma	{24,25}	{Figueras,J,",",Jaurrieta,E,",",Valls,C,",",Ramos,E,",",Serrano,T,",",et,al.,(,2000,),Resection,or,transplantation,for,hepatocellular,carcinoma,in,cirrhotic,patients,:,outcomes,based,on,indicated,treatment,strategy,.}	{"Ann Surg 218 : 1454151 .","8 ."}	{"J Am Coll Surg 190 : 5804587 .","9 ."}
MENTION_HPOTERM_SCPDFS_2275.pdf_16_1_10	HP:0000819|Diabetes mellitus	{1,10}	{Regarding,diabetes,",",we,have,established,a,Type,2,diabetes,mellitus,(,T2DM,),model,.}	{"In addition , we have performed genetic and drug screens that have resulted in novel genes and drugs , and we are working to bring these compounds to the clinics .","Working closely with medicinal chemists including Kevan Shokat , we have combined genetics and chemistry in a unique approach to developing polypharmacological agents as well as improving clinically relevant compounds ."}	{"We are exploring the links between TZDM and obesity , hyperglycemia , hyperinsulinemia , hyperlipidemia , cardiomyopathy , and nephropathy .","In collaboration with Thomas Baranski we have developed novel models for the link between obesity and diabetes and for loss of podocyte function in diabetic nephropathy ."}
MENTION_HPOTERM_journal.pone.0046387.pdf_551_11_11	HP:0009733|Glioma	{11}	{expression,",",a,result,similar,to,that,previously,obtained,in,human,glioma,cell,lines,[,48,],.}	{"However our experiments using a reporter of Atohl expression suggest that Sox2l does not strongly regulate Atohl gene expression .","On the other hand , we found that sustained as well as transient induction of Sox2l can inhibit Sox2"}	{"Given that Sox2 is thought to antagonize Atohl function in the inner ear [ 12 ] , the reduction of Sox2 levels induced by Sox2l could indirectly promote hair cell differentiation .","Artiﬁcial induction of Sox2l also resulted in a progressive loss of Hes5 : : nd2EGFP ﬂuorescence in transfected cells , which was already visible 12 hours after the onset of Dox treatment ."}
