HP:0000002	Abnormality of body height	height|abnorm|bodi
HP:0000157	Abnormality of the tongue	abnorm|tongu
HP:0000158	Macroglossia	macroglossia
HP:0000159	Abnormality of the lip	abnorm|lip
HP:0000160	Narrow mouth	mouth|narrow
HP:0000161	Median cleft lip	median|cleft|lip
HP:0000162	Glossoptosis	glossoptosis
HP:0000163	Abnormality of the oral cavity	abnorm|caviti|oral
HP:0000164	Abnormality of the teeth	abnorm|teeth
HP:0000166	Severe periodontitis	sever|periodont
HP:0000168	Abnormality of the gingiva	gingiva|abnorm
HP:0000169	Gingival fibromatosis	gingiv|fibromatosi
HP:0000171	Microglossia	microglossia
HP:0000172	Abnormality of the uvula	uvula|abnorm
HP:0000174	Abnormality of the palate	abnorm|palat
HP:0000175	Cleft palate	cleft|palat
HP:0000176	Submucous cleft hard palate	submuc|cleft|hard|palat
HP:0000177	Abnormality of upper lip	upper|abnorm|lip
HP:0000178	Abnormality of lower lip	abnorm|lower|lip
HP:0000179	Thick lower lip vermilion	vermilion|lower|lip|thick
HP:0000180	Lobulated tongue	lobul|tongu
HP:0000182	Movement abnormality of the tongue	abnorm|tongu|movement
HP:0000183	Difficulty in tongue movements	tongu|difficulti|movement
HP:0000185	Cleft soft palate	palat|cleft|soft
HP:0000187	Broad alveolar ridges	ridg|broad|alveolar
HP:0000188	Short upper lip	short|upper|lip
HP:0000189	Narrow palate	narrow|palat
HP:0000190	Abnormality of oral frenula	abnorm|frenula|oral
HP:0000191	Accessory oral frenulum	frenulum|accessori|oral
HP:0000193	Bifid uvula	uvula|bifid
HP:0000194	Open mouth	mouth|open
HP:0000196	Lower lip pit	pit|lower|lip
HP:0000197	Abnormality of parotid gland	gland|abnorm|parotid
HP:0000198	Absence of Stensen duct	absenc|duct|stensen
HP:0000199	Tongue nodules	nodul|tongu
HP:0000200	Short lingual frenulum	frenulum|short|lingual
HP:0000201	Pierre-Robin sequence	sequenc|pierre-robin
HP:0000202	Oral cleft	cleft|oral
HP:0000204	Cleft upper lip	upper|cleft|lip
HP:0000205	Pursed lips	lip|purs
HP:0000206	Glossitis	glossitis
HP:0000207	Triangular mouth	mouth|triangular
HP:0000211	Trismus	trismus
HP:0000212	Gingival overgrowth	gingiv|overgrowth
HP:0000214	Lip telangiectasia	telangiectasia|lip
HP:0000215	Thick upper lip vermilion	vermilion|upper|lip|thick
HP:0000216	Broad secondary alveolar ridge	ridg|secondari|broad|alveolar
HP:0000217	Xerostomia	xerostomia
HP:0000218	High palate	high|palat
HP:0000219	Thin upper lip vermilion	vermilion|upper|lip|thin
HP:0000220	Velopharyngeal insufficiency	velopharyng|insuffici
HP:0000221	Furrowed tongue	furrow|tongu
HP:0000222	Gingival hyperkeratosis	hyperkeratosi|gingiv
HP:0000223	Abnormality of taste sensation	tast|sensat|abnorm
HP:0000224	Decreased taste sensation	decreas|tast|sensat
HP:0000225	Gingival bleeding	gingiv|bleed
HP:0000227	Tongue telangiectasia	telangiectasia|tongu
HP:0000228	Oral cavity teleangiectasia	teleangiectasia|caviti|oral
HP:0000230	Gingivitis	gingivitis
HP:0000232	Everted lower lip vermilion	evert|vermilion|lower|lip
HP:0000233	Thin vermilion border	border|vermilion|thin
HP:0000234	Abnormality of the head	abnorm|head
HP:0000235	Abnormality of the fontanelles and cranial sutures	cranial|fontanell|abnorm|sutur
HP:0000236	Abnormality of the anterior fontanelle	anterior|abnorm|fontanell
HP:0000237	Small anterior fontanelle	anterior|small|fontanell
HP:0000238	Hydrocephalus	hydrocephalus
HP:0000239	Large fontanelles	fontanell|larg
HP:0000240	Abnormality of skull size	skull|abnorm|size
HP:0000242	Parietal bossing	boss|pariet
HP:0000243	Trigonocephaly	trigonocephaly
HP:0000244	Brachyturricephaly	brachyturricephaly
HP:0000245	Abnormality of the sinuses	sinus|abnorm
HP:0000246	Sinusitis	sinusitis
HP:0000248	Brachycephaly	brachycephaly
HP:0000250	Dense calvaria	calvaria|dens
HP:0000252	Microcephaly	microcephaly
HP:0000253	Progressive microcephaly	microcephali|progress
HP:0000255	Acute sinusitis	sinus|acut
HP:0000256	Macrocephaly	macrocephaly
HP:0000260	Wide anterior fontanel	wide|anterior|fontanel
HP:0000262	Turricephaly	turricephaly
HP:0000263	Oxycephaly	oxycephaly
HP:0000264	Abnormality of the mastoid	abnorm|mastoid
HP:0000265	Mastoiditis	mastoiditis
HP:0000267	Cranial asymmetry	cranial|asymmetri
HP:0000268	Dolichocephaly	dolichocephaly
HP:0000269	Prominent occiput	promin|occiput
HP:0000270	Delayed cranial suture closure	cranial|delay|sutur|closur
HP:0000271	Abnormality of the face	abnorm|face
HP:0000272	Malar flattening	flatten|malar
HP:0000273	Facial grimacing	facial|grimac
HP:0000274	Small face	small|face
HP:0000275	Narrow face	narrow|face
HP:0000276	Long face	long|face
HP:0000277	Abnormality of the mandible	mandibl|abnorm
HP:0000278	Retrognathia	retrognathia
HP:0000280	Coarse facial features	facial|coars|featur
HP:0000282	Facial edema	facial|edema
HP:0000283	Broad face	broad|face
HP:0000284	Abnormality of the ocular region	abnorm|ocular|region
HP:0000286	Epicanthus	epicanthus
HP:0000287	Increased facial adipose tissue	facial|tissu|increas|adipos
HP:0000288	Abnormality of the philtrum	philtrum|abnorm
HP:0000289	Broad philtrum	broad|philtrum
HP:0000290	Abnormality of the forehead	abnorm|forehead
HP:0000291	Abnormality of facial adipose tissue	facial|tissu|abnorm|adipos
HP:0000292	Loss of facial adipose tissue	facial|loss|adipos|tissu
HP:0000293	Full cheeks	cheek|full
HP:0000294	Low anterior hairline	low|anterior|hairlin
HP:0000295	Doll-like facies	faci|doll-lik
HP:0000297	Facial hypotonia	facial|hypotonia
HP:0000298	Mask-like facies	mask-lik|faci
HP:0000300	Oval face	oval|face
HP:0000301	Abnormality of facial musculature	facial|abnorm|musculatur
HP:0000303	Mandibular prognathia	mandibular|prognathia
HP:0000306	Abnormality of the chin	chin|abnorm
HP:0000307	Pointed chin	chin|point
HP:0000308	Microretrognathia	microretrognathia
HP:0000309	Abnormality of the midface	abnorm|midfac
HP:0000311	Round face	round|face
HP:0000315	Abnormality of the orbital region	orbit|abnorm|region
HP:0000316	Hypertelorism	hypertelorism
HP:0000317	Facial myokymia	facial|myokymia
HP:0000319	Smooth philtrum	philtrum|smooth
HP:0000320	Bird-like facies	bird-lik|faci
HP:0000321	Square face	squar|face
HP:0000322	Short philtrum	short|philtrum
HP:0000324	Facial asymmetry	facial|asymmetri
HP:0000325	Triangular face	triangular|face
HP:0000326	Abnormality of the maxilla	abnorm|maxilla
HP:0000327	Hypoplasia of the maxilla	hypoplasia|maxilla
HP:0000329	Facial hemangioma	facial|hemangioma
HP:0000331	Short chin	short|chin
HP:0000336	Prominent supraorbital ridges	promin|supraorbit|ridg
HP:0000337	Broad forehead	broad|forehead
HP:0000338	Hypomimic face	face|hypomim
HP:0000339	Pugilistic facies	pugilist|faci
HP:0000340	Sloping forehead	slope|forehead
HP:0000341	Narrow forehead	narrow|forehead
HP:0000343	Long philtrum	philtrum|long
HP:0000346	Whistling appearance	appear|whistl
HP:0000347	Micrognathia	micrognathia
HP:0000348	High forehead	high|forehead
HP:0000349	Widow's peak	widow|peak
HP:0000350	Small forehead	small|forehead
HP:0000356	Abnormality of the outer ear	abnorm|ear|outer
HP:0000357	Abnormal location of ears	locat|abnorm|ear
HP:0000358	Posteriorly rotated ears	ear|posterior|rotat
HP:0000359	Abnormality of the inner ear	abnorm|ear
HP:0000360	Tinnitus	tinnitus
HP:0000361	Pulsatile tinnitus (tympanic paraganglioma)	pulsatil|paraganglioma|tympan|tinnitus
HP:0000362	Otosclerosis	otosclerosis
HP:0000363	Abnormality of earlobe	earlob|abnorm
HP:0000364	Hearing abnormality	abnorm|hear
HP:0000365	Hearing impairment	impair|hear
HP:0000366	Abnormality of the nose	abnorm|nose
HP:0000368	Low-set, posteriorly rotated ears	rotat|ear|low-set|posterior
HP:0000369	Low-set ears	ear|low-set
HP:0000370	Abnormality of the middle ear	middl|abnorm|ear
HP:0000371	Acute otitis media	otiti|media|acut
HP:0000372	Abnormality of the auditory canal	auditori|abnorm|canal
HP:0000375	Abnormality of cochlea	abnorm|cochlea
HP:0000376	Incomplete partition of the cochlea type II	incomplet|partit|type|ii|cochlea
HP:0000377	Abnormality of the pinna	pinna|abnorm
HP:0000378	Cupped ear	cup|ear
HP:0000381	Stapes ankylosis	ankylosi|stape
HP:0000383	Abnormality of periauricular region	periauricular|abnorm|region
HP:0000384	Preauricular skin tag	preauricular|tag|skin
HP:0000385	Small earlobe	earlob|small
HP:0000387	Absent earlobe	earlob|absent
HP:0000388	Otitis media	otiti|media
HP:0000389	Chronic otitis media	chronic|otiti|media
HP:0000391	Thickened helices	helic|thicken
HP:0000394	Lop ear	ear|lop
HP:0000395	Prominent antihelix	promin|antihelix
HP:0000396	Overfolded helix	helix|overfold
HP:0000399	Prelingual sensorineural hearing impairment	sensorineur|impair|hear|prelingu
HP:0000400	Macrotia	macrotia
HP:0000402	Stenosis of the external auditory canal	canal|extern|auditori|stenosi
HP:0000403	Recurrent otitis media	recurr|otiti|media
HP:0000405	Conductive hearing impairment	impair|conduct|hear
HP:0000407	Sensorineural hearing impairment	sensorineur|impair|hear
HP:0000408	Progressive sensorineural hearing impairment	sensorineur|impair|progress|hear
HP:0000410	Mixed hearing impairment	impair|mix|hear
HP:0000411	Protruding ear	protrud|ear
HP:0000413	Atresia of the external auditory canal	extern|auditori|atresia|canal
HP:0000414	Bulbous nose	nose|bulbous
HP:0000415	Abnormality of the choanae	abnorm|choana
HP:0000417	Slender nose	slender|nose
HP:0000418	Narrow nasal ridge	narrow|nasal|ridg
HP:0000419	Abnormality of the nasal septum	septum|abnorm|nasal
HP:0000420	Short nasal septum	short|septum|nasal
HP:0000421	Epistaxis	epistaxis
HP:0000422	Abnormality of the nasal bridge	bridg|abnorm|nasal
HP:0000426	Prominent nasal bridge	promin|bridg|nasal
HP:0000429	Abnormality of the nasal alae	abnorm|nasal|ala
HP:0000430	Underdeveloped nasal alae	underdevelop|nasal|ala
HP:0000431	Wide nasal bridge	wide|bridg|nasal
HP:0000433	Abnormality of the nasal mucosa	abnorm|nasal|mucosa
HP:0000434	Nasal mucosa telangiectasia	telangiectasia|nasal|mucosa
HP:0000436	Abnormality of the nasal tip	tip|abnorm|nasal
HP:0000437	Depressed nasal tip	tip|depress|nasal
HP:0000444	Convex nasal ridge	convex|nasal|ridg
HP:0000445	Wide nose	wide|nose
HP:0000446	Narrow nasal bridge	bridg|narrow|nasal
HP:0000447	Pear-shaped nose	pear-shap|nose
HP:0000448	Prominent nose	promin|nose
HP:0000451	Triangular nasal tip	tip|triangular|nasal
HP:0000452	Choanal stenosis	stenosi|choanal
HP:0000453	Choanal atresia	atresia|choanal
HP:0000454	Flared nostrils	nostril|flare
HP:0000455	Broad nasal tip	tip|broad|nasal
HP:0000456	Bifid nasal tip	tip|bifid|nasal
HP:0000457	Depressed nasal ridge	depress|nasal|ridg
HP:0000458	Anosmia	anosmia
HP:0000460	Narrow nose	narrow|nose
HP:0000463	Anteverted nares	antevert|nare
HP:0000464	Abnormality of the neck	neck|abnorm
HP:0000465	Webbed neck	neck|web
HP:0000466	Limited neck range of motion	neck|motion|rang|limit
HP:0000467	Neck muscle weakness	neck|weak|muscl
HP:0000468	Increased adipose tissue around the neck	neck|tissu|increas|adipos
HP:0000470	Short neck	neck|short
HP:0000471	Gastrointestinal angiodysplasia	angiodysplasia|gastrointestin
HP:0000472	Long neck	neck|long
HP:0000473	Torticollis	torticollis
HP:0000474	Thickened nuchal skin fold	fold|nuchal|thicken|skin
HP:0000475	Broad neck	neck|broad
HP:0000476	Cystic hygroma	hygroma|cystic
HP:0000478	Abnormality of the eye	abnorm|eye
HP:0000479	Abnormality of the retina	retina|abnorm
HP:0000480	Retinal coloboma	coloboma|retin
HP:0000481	Abnormality of the cornea	abnorm|cornea
HP:0000482	Microcornea	microcornea
HP:0000483	Astigmatism	astigmatism
HP:0000484	Hyperopic astigmatism	astigmat|hyperop
HP:0000485	Megalocornea	megalocornea
HP:0000486	Strabismus	strabismus
HP:0000487	Congenital strabismus	strabismus|congenit
HP:0000488	Retinopathy	retinopathy
HP:0000490	Deeply set eye	deepli|set|eye
HP:0000491	Keratitis	keratitis
HP:0000492	Abnormality of the eyelid	eyelid|abnorm
HP:0000493	Abnormality of the fovea	fovea|abnorm
HP:0000494	Downslanted palpebral fissures	fissur|downslant|palpebr
HP:0000495	Recurrent corneal erosions	recurr|eros|corneal
HP:0000496	Abnormality of eye movement	abnorm|eye|movement
HP:0000497	Globe retraction and deviation on abduction	retract|globe|abduct|deviat
HP:0000498	Blepharitis	blepharitis
HP:0000499	Abnormality of the eyelashes	abnorm|eyelash
HP:0000501	Glaucoma	glaucoma
HP:0000502	Abnormality of the conjunctiva	abnorm|conjunctiva
HP:0000503	Tortuosity of conjunctival vessels	conjunctiv|vessel|tortuos
HP:0000504	Abnormality of vision	vision|abnorm
HP:0000505	Visual impairment	impair|visual
HP:0000506	Telecanthus	telecanthus
HP:0000508	Ptosis	ptosis
HP:0000509	Conjunctivitis	conjunctivitis
HP:0000510	Retinitis pigmentosa	pigmentosa|retin
HP:0000511	Vertical supranuclear gaze palsy	palsi|supranuclear|gaze|vertic
HP:0000512	Abnormal electroretinogram	abnorm|electroretinogram
HP:0000514	Slow saccadic eye movements	movement|slow|eye|saccad
HP:0000517	Abnormality of the lens	abnorm|len
HP:0000518	Cataract	cataract
HP:0000519	Congenital cataract	congenit|cataract
HP:0000520	Proptosis	proptosis
HP:0000522	Alacrima	alacrima
HP:0000523	Subcapsular cataract	cataract|subcapsular
HP:0000524	Conjunctival telangiectasia	telangiectasia|conjunctiv
HP:0000525	Abnormality of the iris	iri|abnorm
HP:0000526	Aniridia	aniridia
HP:0000527	Long eyelashes	long|eyelash
HP:0000528	Anophthalmia	anophthalmia
HP:0000529	Progressive visual loss	progress|loss|visual
HP:0000531	Corneal crystals	crystal|corneal
HP:0000532	Chorioretinal abnormality	chorioretin|abnorm
HP:0000533	Chorioretinal atrophy	chorioretin|atrophi
HP:0000534	Abnormality of the eyebrow	eyebrow|abnorm
HP:0000535	Sparse eyebrow	eyebrow|spars
HP:0000537	Epicanthus inversus	epicanthus|inversus
HP:0000538	Pseudopapilledema	pseudopapilledema
HP:0000539	Abnormality of refraction	abnorm|refract
HP:0000540	Hypermetropia	hypermetropia
HP:0000541	Retinal detachment	detach|retin
HP:0000542	Impaired ocular adduction	impair|adduct|ocular
HP:0000543	Optic disc pallor	optic|pallor|disc
HP:0000544	External ophthalmoplegia	ophthalmoplegia|extern
HP:0000545	Myopia	myopia
HP:0000546	Retinal degeneration	retin|degener
HP:0000547	Tapetoretinal degeneration	tapetoretin|degener
HP:0000548	Cone-rod dystrophy	cone-rod|dystrophi
HP:0000549	Abnormal conjugate eye movement	conjug|abnorm|eye|movement
HP:0000550	Abolished electroretinogram (ERG)	erg|abolish|electroretinogram
HP:0000551	Abnormality of color vision	vision|abnorm|color
HP:0000552	Tritanomaly	tritanomaly
HP:0000553	Abnormality of the uvea	abnorm|uvea
HP:0000554	Uveitis	uveitis
HP:0000555	Leukocoria	leukocoria
HP:0000556	Retinal dystrophy	dystrophi|retin
HP:0000557	Buphthalmos	buphthalmos
HP:0000558	Rieger anomaly	anomali|rieger
HP:0000559	Corneal scarring	scar|corneal
HP:0000561	Absent eyelashes	absent|eyelash
HP:0000563	Keratoconus	keratoconus
HP:0000564	Lacrimal duct atresia	atresia|lacrim|duct
HP:0000565	Esotropia	esotropia
HP:0000567	Chorioretinal coloboma	chorioretin|coloboma
HP:0000568	Microphthalmos	microphthalmos
HP:0000570	Abnormality of saccadic eye movements	movement|abnorm|eye|saccad
HP:0000571	Hypometric saccades	hypometr|saccad
HP:0000572	Visual loss	loss|visual
HP:0000573	Retinal hemorrhage	hemorrhag|retin
HP:0000574	Thick eyebrow	eyebrow|thick
HP:0000575	Scotoma	scotoma
HP:0000576	Centrocecal scotoma	scotoma|centrocec
HP:0000577	Exotropia	exotropia
HP:0000579	Nasolacrimal duct obstruction	duct|obstruct|nasolacrim
HP:0000580	Pigmentary retinopathy	pigmentari|retinopathi
HP:0000581	Blepharophimosis	blepharophimosis
HP:0000582	Upslanted palpebral fissure	upslant|fissur|palpebr
HP:0000584	Punctate corneal epithelial erosions	punctat|eros|epitheli|corneal
HP:0000585	Band keratopathy	band|keratopathi
HP:0000586	Shallow orbits	orbit|shallow
HP:0000587	Abnormality of the optic nerve	abnorm|optic|nerv
HP:0000588	Optic nerve coloboma	coloboma|optic|nerv
HP:0000589	Coloboma	coloboma
HP:0000590	Progressive external ophthalmoplegia	ophthalmoplegia|extern|progress
HP:0000591	Abnormality of the sclera	abnorm|sclera
HP:0000592	Blue sclerae	blue|sclera
HP:0000593	Abnormality of the anterior chamber	anterior|abnorm|chamber
HP:0000594	Shallow anterior chamber	anterior|chamber|shallow
HP:0000597	Ophthalmoparesis	ophthalmoparesis
HP:0000598	Abnormality of the ear	abnorm|ear
HP:0000599	Abnormality of the frontal hairline	abnorm|frontal|hairlin
HP:0000600	Abnormality of the pharynx	abnorm|pharynx
HP:0000601	Hypotelorism	hypotelorism
HP:0000602	Ophthalmoplegia	ophthalmoplegia
HP:0000603	Central scotoma	central|scotoma
HP:0000605	Supranuclear gaze palsy	palsi|supranuclear|gaze
HP:0000606	Abnormality of the periorbital region	periorbit|abnorm|region
HP:0000607	Periorbital wrinkles	periorbit|wrinkl
HP:0000608	Macular degeneration	macular|degener
HP:0000609	Optic nerve hypoplasia	hypoplasia|optic|nerv
HP:0000610	Abnormality of the choroid	choroid|abnorm
HP:0000611	Choroid coloboma	choroid|coloboma
HP:0000612	Iris coloboma	iri|coloboma
HP:0000613	Photophobia	photophobia
HP:0000614	Abnormality of the nasolacrimal system	system|abnorm|nasolacrim
HP:0000615	Abnormality of the pupil	abnorm|pupil
HP:0000616	Miosis	miosis
HP:0000617	Abnormality of ocular smooth pursuit	pursuit|smooth|abnorm|ocular
HP:0000618	Blindness	blindness
HP:0000619	Impaired convergence	impair|converg
HP:0000620	Dacrocystitis	dacrocystitis
HP:0000621	Entropion	entropion
HP:0000622	Blurred vision	blur|vision
HP:0000623	Supranuclear ophthalmoplegia	ophthalmoplegia|supranuclear
HP:0000625	Cleft eyelid	eyelid|cleft
HP:0000627	Posterior embryotoxon	embryotoxon|posterior
HP:0000629	Periorbital fullness	periorbit|full
HP:0000630	Abnormality of retinal arteries	arteri|abnorm|retin
HP:0000631	Retinal arterial tortuosity	arteri|tortuos|retin
HP:0000632	Lacrimation abnormality	abnorm|lacrim
HP:0000633	Decreased lacrimation	decreas|lacrim
HP:0000634	Impaired ocular abduction	impair|ocular|abduct
HP:0000635	Blue irides	blue|irid
HP:0000636	Upper eyelid coloboma	eyelid|upper|coloboma
HP:0000637	Long palpebral fissure	fissur|long|palpebr
HP:0000639	Nystagmus	nystagmus
HP:0000640	Gaze-evoked nystagmus	nystagmus|gaze-evok
HP:0000641	Dysmetric saccades	saccad|dysmetr
HP:0000642	Red-green dyschromatopsia	red-green|dyschromatopsia
HP:0000643	Blepharospasm	blepharospasm
HP:0000646	Amblyopia	amblyopia
HP:0000647	Sclerocornea	sclerocornea
HP:0000648	Optic atrophy	optic|atrophi
HP:0000649	Abnormality of vision evoked potentials	evok|vision|abnorm|potenti
HP:0000650	Reduced amplitude of pattern visual evoked potentials	amplitud|evok|potenti|reduc|visual|pattern
HP:0000651	Diplopia	diplopia
HP:0000652	Lower eyelid coloboma	eyelid|coloboma|lower
HP:0000653	Sparse eyelashes	spars|eyelash
HP:0000654	Decreased electroretinogram (ERG) amplitude	decreas|erg|amplitud|electroretinogram
HP:0000655	Vitreoretinal degeneration	vitreoretin|degener
HP:0000656	Ectropion	ectropion
HP:0000657	Oculomotor apraxia	apraxia|oculomotor
HP:0000658	Eyelid apraxia	eyelid|apraxia
HP:0000659	Peters anomaly	peter|anomali
HP:0000660	Lipemia retinalis	lipemia|retinali
HP:0000661	Palpebral fissure narrowing on adduction	fissur|adduct|narrow|palpebr
HP:0000662	Night blindness	night|blind
HP:0000664	Synophrys	synophrys
HP:0000666	Horizontal nystagmus	horizont|nystagmus
HP:0000667	Phthisis bulbi	bulbi|phthisi
HP:0000668	Hypodontia	hypodontia
HP:0000670	Carious teeth	carious|teeth
HP:0000674	Anodontia	anodontia
HP:0000675	Macrodontia of permanent maxillary central incisor	perman|incisor|central|maxillari|macrodontia
HP:0000676	Abnormality of the incisor	incisor|abnorm
HP:0000677	Oligodontia	oligodontia
