MIR770	MIRN770|hsa-mir-770	microRNA 770
LINC00479	C21orf129|PRED76|FLJ32835	long intergenic non-protein coding RNA 479
RNU6-323P		RNA, U6 small nuclear 323, pseudogene
MIR4662B	hsa-mir-4662b	microRNA 4662b
FANCE	FACE|FAE	Fanconi anemia, complementation group E
LYPD6	MGC52057	LY6/PLAUR domain containing 6
FAM221B	C9orf128	family with sequence similarity 221, member B
MPC2	BRP44|DKFZP564B167	mitochondrial pyruvate carrier 2
NLRC3	CLR16.2|FLJ00348|NOD3	nucleotide-binding oligomerization domain, leucine rich repeat and CARD domain containing 3|NOD-like receptor C3|NLR family, CARD domain containing 3
G3BP2	KIAA0660	Ras-GTPase activating protein SH3 domain-binding protein 2|GTPase activating protein (SH3 domain) binding protein 2
RASIP1	RAIN|FLJ20401	Ras interacting protein 1
RNU6-1158P		RNA, U6 small nuclear 1158, pseudogene
FPGT-TNNI3K		FPGT-TNNI3K readthrough
DLEU1-AS1	LINC01308	
SLC25A41	APC4|MGC34725|FLJ40442	solute carrier family 25, member 41
VN1R46P		vomeronasal 1 receptor 46 pseudogene
FRA1A		fragile site, aphidicolin type, common, fra(1)(p36)
RPL13AP19		ribosomal protein L13a pseudogene 19
ADGB	C6orf103|dJ408K24.1|FLJ23121	androglobin
RPL29P13		ribosomal protein L29 pseudogene 13
PIRC53		piwi-interacting RNA cluster 53
SRSF1	SRp30a|SF2p33|SFRS1|ASF|MGC5228|SF2	pre-mRNA-splicing factor SF2, P33 subunit|splicing factor 2|SR splicing factor 1|serine/arginine-rich splicing factor 1|alternate splicing factor
HMGN1P19		high mobility group nucleosome binding domain 1 pseudogene 19
FAM8A7P		family with sequence similarity 8, member A7 pseudogene
PYCR2	P5CR2	pyrroline-5-carboxylate reductase family, member 2
CHIA	CHIT2|TSA1902|AMCase	chitinase, acidic
RPL31P60		ribosomal protein L31 pseudogene 60
TRP-AGG6-1	TRNAP24P	transfer RNA proline 24 (anticodon AGG) pseudogene
CLCNKB	hClC-Kb	chloride channel, voltage-sensitive Kb
RPS15AP4		ribosomal protein S15a pseudogene 4
FCN2	FCNL|P35|EBP-37|ficolin-2	serum lectin p35|ficolin B|hucolin|ficolin (collagen/fibrinogen domain containing lectin) 2|ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)|L-ficolin|collagen/fibrinogen domain-containing protein 2
LAKLG	LAKL	lymphokine-activated killer cell ligand
OR2J2	OR6-8|dJ80I19.4|hs6M1-6	olfactory receptor, family 2, subfamily J, member 2
MIR4635	hsa-mir-4635	microRNA 4635
NDUFV1	CI-51K	complex I 51kDa subunit|NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa|NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
CLEC10A	HML|CLECSF13|CD301|CLECSF14|HML2	macrophage lectin 2 (calcium dependent)|C-type lectin domain family 10, member A
RNU6-791P		RNA, U6 small nuclear 791, pseudogene
PCDHGC4	PCDH-GAMMA-C4	protocadherin gamma subfamily C, 4
RPL13AP22		ribosomal protein L13a pseudogene 22
NCOR1P1	C20orf191|bB329D4.2	nuclear receptor corepressor 1 pseudogene 1
ADAM18	tMDCIII|ADAM27	ADAM metallopeptidase domain 18
BNIP3P42		BCL2/adenovirus E1B 19kDa interacting protein 3 pseudogene 42
ZNF84	HPF2	zinc finger protein 84
RNU6-679P		RNA, U6 small nuclear 679, pseudogene
SERF1B	FAM2B|H4F5C	small EDRK-rich factor 1B (centromeric)
TRIM51JP		tripartite motif-containing 51J, pseudogene
CCT8	C21orf112|PRED71|Cctq	chaperonin containing TCP1, subunit 8 (theta)
RNU1-44P		RNA, U1 small nuclear 44, pseudogene
RN7SL660P		RNA, 7SL, cytoplasmic 660, pseudogene
MIR5590	hsa-mir-5590	microRNA 5590
HNRNPA1P73		heterogeneous nuclear ribonucleoprotein A1 pseudogene 73
RN7SL415P		RNA, 7SL, cytoplasmic 415, pseudogene
TMEM39A	FLJ10902	transmembrane protein 39A
FSCB	DKFZP434F1017|C14orf155	fibrous sheath CABYR binding protein
TMEM262		transmembrane protein 262
TMBIM6	BI-1|TEGT|BAXI1	transmembrane BAX inhibitor motif containing 6|BAX inhibitor 1
PIGC		phosphatidylinositol glycan anchor biosynthesis, class C|phosphatidylinositol N-acetylglucosaminyltransferase
TRY-GTA5-3	TRNAY3	transfer RNA tyrosine 3 (anticodon GUA)
HPP1	FPH1	familial progressive hyperpigmentation 1|hyperpigmentation, progressive, 1
MIR1273C	hsa-mir-1273c	microRNA 1273c
RNU6-317P		RNA, U6 small nuclear 317, pseudogene
RPS12P4		ribosomal protein S12 pseudogene 4
ZFPM1	ZNF89A|FOG1|ZC2HC11A|FOG	zinc finger protein, FOG family member 1
MYL4	AMLC|GT1|PRO1957|ALC1	myosin, light chain 4, alkali; atrial, embryonic|myosin, atrial/fetal muscle, light chain
ACTN4P1		actinin, alpha 4 pseudogene 1
TRV-TAC1-1	TRNAV11	transfer RNA valine 11 (anticodon UAC)
ABHD1	LABH1|FLJ36128	abhydrolase domain containing 1
CXorf23		chromosome X open reading frame 23
CKS1BP6		CDC28 protein kinase regulatory subunit 1B pseudogene 6
RNU6-786P		RNA, U6 small nuclear 786, pseudogene
RPL7AP73		ribosomal protein L7a pseudogene 73
MMAB	cblB|CFAP23	methylmalonic aciduria (cobalamin deficiency) cblB type|ATP:cob(I)alamin adenosyltransferase
GPR85	SREB2	G protein-coupled receptor 85
CCDC24	MGC45441	coiled-coil domain containing 24
RNU6-974P		RNA, U6 small nuclear 974, pseudogene
SERPINB12	YUKOPIN	serpin peptidase inhibitor, clade B (ovalbumin), member 12
DOCK2	KIAA0209	dedicator of cytokinesis 2
C10orf131	bA690P14.3	chromosome 10 open reading frame 131
HHIP-AS1		HHIP antisense RNA 1
CYP2C19	CYP2C|CPCJ|P450IIC19	cytochrome P450, family 2, subfamily C, polypeptide 19
RNU6ATAC19P		RNA, U6atac small nuclear 19, pseudogene
PDXDC1	KIAA0251	pyridoxal-dependent decarboxylase domain containing 1
RNU2-6P		RNA, U2 small nuclear 6, pseudogene
LINC00529	C8orf8	long intergenic non-protein coding RNA 529
SNORD115-43	HBII-52-43	small nucleolar RNA, C/D box 115-43
HCG4P7	HCGIV.C|HCGIV-7|HCGIV-07	HLA complex group 4 pseudogene 7|HCGIV-07 pseudogene
PSTK	C10orf89|MGC35392	phosphoseryl-tRNA kinase
SEN3		senescence (cellular)-related 3
MRX75		mental retardation, X-linked 75
RNA5SP301	RN5S301	RNA, 5S ribosomal pseudogene 301
LINC00871	RP11-1A16.1	long intergenic non-protein coding RNA 871
MIR518F	MIRN518F|hsa-mir-518f	microRNA 518f
MIR219A1	MIR219-1|MIRN219-1|hsa-mir-219-1	microRNA 219a-1|microRNA 219-1
MED10	MGC5309|L6|NUT2|TRG20	mediator complex subunit 10|NUT2 homolog (S. cerevisiae)
ZNF816-ZNF321P	ZNF816-ZNF321	ZNF816-ZNF321P readthrough
RNU6-492P		RNA, U6 small nuclear 492, pseudogene
MRPS21		mitochondrial ribosomal protein S21
RPL30P16		ribosomal protein L30 pseudogene 16
RPL7P20		ribosomal protein L7 pseudogene 20
RGPD5	DKFZp686I1842|RGP5|BS-63	RANBP2-like and GRIP domain containing 5
IL1A	IL1|IL1-ALPHA|IL1F1|IL-1A	preinterleukin 1 alpha|interleukin 1, alpha|hematopoietin-1|pro-interleukin-1-alpha
RNU6-55P	RNU6-55	RNA, U6 small nuclear 55, pseudogene
IMP3P1		IMP3 pseudogene 1
WTAP	KIAA0105|MGC3925	Wilms tumor 1 associated protein
FHL5	FLJ33049|ACT|dJ393D12.2	four and a half LIM domains 5
MIR944	MIRN944|hsa-mir-944	microRNA 944
CCL24	Ckb-6|MPIF2|SCYA24|MPIF-2|eotaxin-2	myeloid progenitor inhibitory factor 2|CK-beta-6|chemokine (C-C motif) ligand 24|eotaxin-2
MIR6749	hsa-mir-6749	microRNA 6749
RPL34P16		ribosomal protein L34 pseudogene 16
RBM17P1		RNA binding motif protein 17 pseudogene 1
RDH14	PAN2|SDR7C4	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)|short chain dehydrogenase/reductase family 7C, member 4
MTND5P18		MT-ND5 pseudogene 18
KLHDC1	MST025	kelch domain containing 1
ENUR2		enuresis, nocturnal 2
RPL36P14		ribosomal protein L36 pseudogene 14
DIP2C	KIAA0934	DIP2 disco-interacting protein 2 homolog C (Drosophila)
OR5M8		olfactory receptor, family 5, subfamily M, member 8
SNRNP35	U1SNRNPBP	small nuclear ribonucleoprotein 35kDa (U11/U12)|U1 snRNP binding protein homolog
RNU6-1071P		RNA, U6 small nuclear 1071, pseudogene
TRIM47	RNF100|GOA	tripartite motif containing 47
CTXN1	FLJ25968	cortexin 1
HPRTP1		hypoxanthine phosphoribosyltransferase pseudogene 1
RABGGTA	PTAR3	protein prenyltransferase alpha subunit repeat containing 3|Rab geranylgeranyltransferase, alpha subunit
ABHD10	FLJ11342	abhydrolase domain containing 10
CDY20P		chromodomain protein, Y-linked 20 pseudogene
MTRNR2L9		MT-RNR2-like 9 (pseudogene)
HIST1H2AD	H2A.3|H2AFG|H2A/g	histone cluster 1, H2ad
C17orf2		chromosome 17 open reading frame 2
PIN4	PAR17|EPVH|PAR14	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)
PFKP	PFK-C|PFKF	phosphofructokinase, platelet|Phosphofructokinase, platelet type
XRCC2		RAD51-like|X-ray repair complementing defective repair in Chinese hamster cells 2
MIR4443	hsa-mir-4443	microRNA 4443
OFD1P18Y	OFD1P18|71-7A2|CYorf1|OFD1PY18	OFD1 pseudogene 18, Y-linked
SAPCD1-AS1	C6orf26-AS1	SAPCD1 antisense RNA 1
C12orf71	LOC728858	chromosome 12 open reading frame 71
PHGR1		proline/histidine/glycine-rich 1
TOP1P2		topoisomerase (DNA) I pseudogene 2
PROX1-AS1		PROX1 antisense RNA 1
TPM3P8		tropomyosin 3 pseudogene 8
RPLP1P10		ribosomal protein, large, P1 pseudogene 10
RN7SL790P		RNA, 7SL, cytoplasmic 790, pseudogene
ZNF852		zinc finger protein 852
C15orf41	HH114|FLJ22851|MGC11326	chromosome 15 open reading frame 41
COL5A1		alpha 1 type V collagen|collagen, type V, alpha 1
TAPT1-AS1	FLJ39653	TAPT1 antisense RNA 1 (head to head)
RNU4ATAC15P		RNA, U4atac small nuclear 15, pseudogene
MIR218-2	MIRN218-2|hsa-mir-218-2	microRNA 218-2
CLDN18	SFTPJ	claudin 18
SLITRK5	LRRC11|bA364G4.2|KIAA0918	SLIT and NTRK-like family, member 5
TRPM4	FLJ20041	transient receptor potential cation channel, subfamily M, member 4
CFTRP1	C20orf189|dJ760C5.1	cystic fibrosis transmembrane conductance regulator pseudogene 1
MIR362	MIRN362|hsa-mir-362	microRNA 362
MAVS	VISA|KIAA1271|IPS-1|Cardif	CARD adaptor inducing IFN-beta|virus-induced signaling adaptor|mitochondrial antiviral signaling protein|IFN-B promoter stimulator 1
UBE2O	E2-230K	ubiquitin-conjugating enzyme E2O
RP6		retinitis pigmentosa 6 (X-linked recessive)
RNU6-554P		RNA, U6 small nuclear 554, pseudogene
TMEM62	FLJ23375	transmembrane protein 62
MIR493	hsa-mir-493|MIRN493	microRNA 493
ZFP64	FLJ10734|dJ831D17.1|dJ548G19.1|FLJ12628|ZNF338	ZFP64 zinc finger protein
COTL1P1	CLPSMCR	COTL1 pseudogene 1|coactosin-like 1 (Dictyostelium) pseudogene 1
GCAT	KBL	glycine C-acetyltransferase|2-amino-3-ketobutyrate coenzyme A ligase
ACP5	TRAP	acid phosphatase 5, tartrate resistant|tartrate-resistant acid phosphatase
RNU6-191P		RNA, U6 small nuclear 191, pseudogene
LINC00499		long intergenic non-protein coding RNA 499
CCAR1	CARP1|FLJ10590|CARP-1	cell division cycle and apoptosis regulator 1
NR4A1	NGFIB|HMR|N10|TR3|NUR77|NAK-1|GFRP1	nuclear receptor subfamily 4, group A, member 1
SSXP8	psiSSX8	SSX family pseudogene 8
RBMS3-AS3		RBMS3 antisense RNA 3
MGAT3	GNT-III	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
RIC1	bA207C16.1|KIAA1432	KIAA1432
MIR526A2	MIRN526A-2|hsa-mir-526a-2|MIRN526A2	microRNA 526a-2
MSLN	MPF|CAK1	mesothelin
HIST1H1C	H1.2|H1c|H1s-1|H1F2	histone cluster 1, H1c
MIR4704	hsa-mir-4704	microRNA 4704
MRPL42P6		mitochondrial ribosomal protein L42 pseudogene 6
FAM83B	C6orf143|FLJ30642	family with sequence similarity 83, member B
SPATA32	VAD1.2|C17orf46|AEP2|TEX34|FLJ25414	acrosome expressed 2|spermatogenesis associated 32
YWHAEP3		tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 3
RPS2P44		ribosomal protein S2 pseudogene 44
PSPC1P2		paraspeckle component 1 pseudogene 2
UBE2V1P11		ubiquitin-conjugating enzyme E2 variant 1 pseudogene 11
ASLP1	ASLL	argininosuccinate lyase pseudogene 1
RNU6-1238P		RNA, U6 small nuclear 1238, pseudogene
ST13P8		suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 8
PTDSS1	PSSA|KIAA0024|PSS1	phosphatidylserine synthase 1
PCNPP3		PEST containing nuclear protein pseudogene 3
MIR6746	hsa-mir-6746	microRNA 6746
USP9YP6	CDY24P	ubiquitin specific peptidase 9, Y-linked pseudogene 6
PLCB2	FLJ38135	phospholipase C, beta 2
CORO2A	WDR2|IR10	coronin-like protein B|WD protein IR10|coronin, actin binding protein, 2A|WD-repeat protein 2|coronin 2A
SBNO1	MOP3|Sno|FLJ10701|FLJ10833	strawberry notch homolog 1 (Drosophila)
RPS2P46		ribosomal protein S2 pseudogene 46
FRA14B		fragile site, aphidicolin type, common, fra(14)(q23)
TMA16	FLJ11184|C4orf43	translation machinery associated 16 homolog (S. cerevisiae)
MIIP	FLJ12438|IIp45	invasion inhibitory protein 45|migration and invasion inhibitory protein
ZNF243		zinc finger protein 243
TMEM143	FLJ10922	transmembrane protein 143
CACNA1C-IT3		CACNA1C intronic transcript 3 (non-protein coding)
LRIF1	FLJ11269|C1orf103|RIF1	receptor interacting factor 1|ligand dependent nuclear receptor interacting factor 1
GUCY2GP	GUCY2G	guanylate cyclase 2G, pseudogene
OR11H2	C14orf15|OR11H8P|OR11H2P	olfactory receptor, family 11, subfamily H, member 2
CORIN	CRN|ATC2|PRSC|Lrp4|TMPRSS10	corin, serine peptidase
RN7SL365P		RNA, 7SL, cytoplasmic 365, pseudogene
RNY4P20		RNA, Ro-associated Y4 pseudogene 20
EML6	FLJ42562	echinoderm microtubule associated protein like 6
SAGE1	SAGE|CT14	sarcoma antigen 1|cancer/testis antigen 14
TIMM17A	TIM17|TIM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
TUBBP1		tubulin, beta pseudogene 1
GSTO1	GSTTLp28|P28	glutathione S-transferase omega 1
ANGPTL3	ANGPT5	angiopoietin-like 3|angiopoietin 5
PSMC3P		proteasome (prosome, macropain) 26S subunit, ATPase, 3 pseudogene
SENCR	FLI1-AS1	smooth muscle and endothelial cell enriched migration/differentiation-associated long non-coding RNA
ARMCX7P	ARMCX6-ps|GASP10ps	armadillo repeat containing, X-linked 7, pseudogene
HMGN1P32		high mobility group nucleosome binding domain 1 pseudogene 32
MSL1	MSL-1|DKFZp686P24239|hMSL1	male-specific lethal 1 homolog (Drosophila)
KIR2DL4	103AS|15.212|CD158D	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4
CYP4F25P	CYP4F-se1[6:8]	cytochrome P450, family 4, subfamily F, polypeptide 25, pseudogene
PCAT4	PCA4|PCAN1|GDEP	prostate cancer associated transcript 4 (non-protein coding)
MIR514B	hsa-mir-514b	microRNA 514b
FAM184A	FLJ13942|C6orf60	family with sequence similarity 184, member A
DFN8		deafness, X-linked 8
RNU6-812P		RNA, U6 small nuclear 812, pseudogene
ANKRD18B	bA255A11.3	ankyrin repeat domain 18B
OR1L1	OR9-C|OR1L2	olfactory receptor, family 1, subfamily L, member 1
PCNAP1	p1PCNA	proliferating cell nuclear antigen pseudogene 1
RNU6-411P		RNA, U6 small nuclear 411, pseudogene
OOSP1P1		oocyte secreted protein 1 pseudogene 1
RPS20P35		ribosomal protein S20 pseudogene 35
RN7SKP59		RNA, 7SK small nuclear pseudogene 59
NACAP2		nascent-polypeptide-associated complex alpha polypeptide pseudogene 2
PVRL4	nectin-4|PRR4|LNIR	poliovirus receptor-related 4
C17orf64		chromosome 17 open reading frame 64
RPL36A-HNRNPH2		RPL36A-HNRNPH2 readthrough
DOCK11	ACG|ZIZ2|FLJ43653|FLJ32122	dedicator of cytokinesis 11|zizimin2
RNU6-1021P		RNA, U6 small nuclear 1021, pseudogene
COQ7	CLK-1|CAT5	coenzyme Q7 homolog, ubiquinone (yeast)
RPL35AP2	bA571F15.2	ribosomal protein L35a pseudogene 2
CTSZ	CTSX	lysosomal carboxypeptidase B|cathepsin B2|cathepsin X|cathepsin Z1|carboxypeptidase LB|cysteine-type carboxypeptidase|cathepsin IV|cathepsin Z|cathepsin Y
RNU5E-9P		RNA, U5E small nuclear 9, pseudogene
PLCXD1	FLJ11323	phosphatidylinositol-specific phospholipase C, X domain containing 1
WDFY3	KIAA0993|ALFY|ZFYVE25	WD repeat and FYVE domain containing 3
PDGFB	SSV|SIS	oncogene SIS|platelet-derived growth factor beta polypeptide|becaplermin
CCDC42B	MIA2	coiled-coil domain containing 42B
RILP	FLJ31193	Rab interacting lysosomal protein
MIR4748	hsa-mir-4748	microRNA 4748
OR7H2P		olfactory receptor, family 7, subfamily H, member 2 pseudogene
MIR6757	hsa-mir-6757	microRNA 6757
DNM1P41	DNM1DN11-6|DNM1DN11@	DNM1 pseudogene 41
SEPT6	KIAA0128|MGC16619|SEPT2|SEP2|MGC20339	septin 6
TMC2	dJ686C3.3|C20orf145	transmembrane channel-like 2
CYLD	CYLD1|KIAA0849|USPL2	ubiquitin specific peptidase like 2|cylindromatosis (turban tumor syndrome)
MRS2P1	MRS2LP1	MRS2 pseudogene 1|MRS2-like, magnesium homeostasis factor (S. cerevisiae) pseudogene 1
OR4M1		olfactory receptor, family 4, subfamily M, member 1
TRBV12-1	TCRBV12S1|TRBV121|TCRBV8S4P	T cell receptor beta variable 12-1 (pseudogene)
CYP2A13	CYP2A|CPAD	cytochrome P450, family 2, subfamily A, polypeptide 13
FTH1P26	FTHL26	ferritin, heavy polypeptide 1 pseudogene 26
OR2A4	OR2A10	olfactory receptor, family 2, subfamily A, member 4
OR10AA1P		olfactory receptor, family 10, subfamily AA, member 1 pseudogene
RNA5SP108	RN5S108	RNA, 5S ribosomal pseudogene 108
MORN1	FLJ13941	MORN repeat containing 1
RPL35P8		ribosomal protein L35 pseudogene 8
RNA5SP287	RN5S287	RNA, 5S ribosomal pseudogene 287
MIR6744	hsa-mir-6744	microRNA 6744
OXCT1	OXCT|SCOT	3-oxoacid CoA transferase 1
MIR3682	hsa-mir-3682	microRNA 3682
IGKV2OR22-3	IGKV2/OR22-3|IGKVP4	immunoglobulin kappa variable 2/OR22-3 (pseudogene)
TRS-TGA4-1	TRNAS3|TRS3	transfer RNA serine 3 (anticodon UGA)
GTF2H2C		GTF2H2 family member C|general transcription factor IIH, polypeptide 2C
PC	PCB	pyruvate carboxylase
ABCB6	umat|MTABC3|EST45597	ATP-binding cassette, sub-family B (MDR/TAP), member 6|ATP-binding cassette half-transporter
UNC93B7		unc-93 homolog B7 pseudogene (C. elegans)
RNU7-158P		RNA, U7 small nuclear 158 pseudogene
BBX	HSPC339|HBP2|MDS001	x 001 protein|bobby sox homolog (Drosophila)
CTNNBL1	C20orf33|P14|NYD-SP19|NAP|P14L|FLJ21108	nuclear associated protein|catenin, beta like 1
RAB30		RAB30, member RAS oncogene family
RPL12P15		ribosomal protein L12 pseudogene 15
GAPDHP16	GAPDP16	glyceraldehyde-3-phosphate dehydrogenase pseudogene 16
SAI1		suppression of anchorage independence 1
NSD1	KMT3B|STO|ARA267|FLJ22263	nuclear receptor binding SET domain protein 1
RPL23AP29		ribosomal protein L23a pseudogene 29
SCOCP1		short coiled-coil protein pseudogene 1
FTHL17	CT38	ferritin, heavy polypeptide-like 17|cancer/testis antigen 38
EIF1B-AS1	FLJ33065	EIF1B antisense RNA 1
SSH3	FLJ20515|FLJ10928	slingshot protein phosphatase 3
RPARP-AS1		RPARP antisense RNA 1
ZZZ3	DKFZP564I052|ATAC1	zinc finger, ZZ-type containing 3|ATAC component 1 homolog (Drosophila)
KSS		Kearns-Sayre syndrome
IRF1	MAR	interferon regulatory factor 1|interferon regulatory factor-1
SLC25A46		solute carrier family 25, member 46
