relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0085190.pdf_466_466_4_4_21_23_UNSUP	MR/HP:0007354|Amyotrophic lateral sclerosis	{4}	{21,22,23}	{Trojsi,F,",",Monsurro,MR,",",Esposito,F,",",Tedeschi,G,(,2012,),VVidespread,structural,and,functional,connectivity,changes,in,amyotrophic,lateral,sclerosis,:,insights,from,advanced,neuroimaging,research,.}	{"Turner l \\\\ ’ IR , Kiernan IVIC ( 2012 ) Does interneuronal dysfunction contribute to neurodegeneration in amyotrophic lateral sclerosis ?","Amyotroph Lateral Scler 13 : 2454250 ."}	{"Neural Plast 2012 : 473538 .","Kollewe K , Korner S , Dengler R , Petri S , l \\\\ Iohammadi B ( 2012 ) l\\\\/Iagnetic resonance imaging in amyotrophic lateral sclerosis ."}	0.002
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0043223.pdf_190_190_24_24_10_10_UNSUP	G2/geminin	{24}	{10}	{This,interpretation,is,supported,by,a,previous,report,showing,that,geminin,is,critical,for,continued,DNA,synthesis,and,entering,cells,to,cell-cycle,progression,from,G2,to,M,phase,via,cyclin-dependent,kinase,(,CDK,),genes,[,18,],.}	{"The exception to this is FAM82B , which showed no clonogenicity or invasion activity upon expression in NIH3T3 cells and thus does not appear to play an important role as a cancer-driver gene .","Furthermore , the high correlation between copy numbers of CENPF , Gil/INN , and CDK13 suggests that these three ampliﬁed genes utilize and / or share the same tumor-development pathway ."}	{"The cyclin-dependent kinase CDKI3 gene , in particular , is a novel oncogene with potent oncogenic activity , as conﬁrmed in our study .","Interestingly , a loss of CDKI3 gene copies was signiﬁcantly associated with early-onset of HCC , whereas high gene-copy numbers ( i.e. , ampliﬁcation ) was signiﬁcantly associated with late-onset of HCC ."}	0.042
RELATION_GENEHPOTERM_journal.pone.0017733.pdf_802_802_19_19_27_28	p21/HP:0003003|Colon cancer	{19}	{27,28}	{Aneja,R,",",Ghaleb,"A1\\\\/I",",",Zhou,J,",",Yang,VVV,",",Joshi,HC,(,2007,),p53,and,p21,determine,the,sensitivity,of,noscapine-induced,apoptosis,in,colon,cancer,cells,.}	{"Nlahmoudian 1 \\\\ l , Rahimi-l \\\\ ’ Ioghaddam P ( 2009 ) The anti ~ cancer activity of noscapine : a review .","Recent Pat Anticancer Drug Discov 4 : 92 — 97 ."}	{"Cancer Res 67 : 386243870 .","Nlenendez JA , del lVlar Barbacid 1V1 , 1\\\\/Iontero S , Sevilla E , Escrich E , et al. ( 2001 ) Effects of gamma ~ 1inolenic acid and oleic acid on paclitaxel cytotoxicity in human breast cancer cells ."}	0.852
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0070635.pdf_409_409_40_40_24_28_UNSUP	CD8/HP:0011947|Respiratory tract infection	{40}	{24,27,28}	{Hendriks,J,",",Xiao,Y,",",Rossen,JVV,",",van,der,Sluijs,KF,",",Sugamura,K,",",et,al.,(,2005,),During,viral,infection,of,the,respiratory,tract,",",CD27,",",441BB,",",and,OX40,collectively,determine,formation,of,CD8,+,memory,T,cells,and,their,capacity,for,secondary,expansion,.}	{"EurJ Immunol 39 : 212042125 .","7 ."}	{"J Immunol 175 : 166541676 .","8 ."}	0.992
RELATION_GENEHPOTERM_journal.pone.0033352.pdf_7_7_42_42_40_40	S2/HP:0100753|Schizophrenia	{42}	{40}	{Recent,studies,of,the,hippocampus,have,suggested,that,a,network,of,genes,is,associated,with,the,regulation,of,the,GAD67,(,GAD1,),expression,and,may,play,a,role,in,y,—,amino,butyric,acid,(,GABA,),dysfunction,in,schizophrenia,(,S2,),and,bipolar,disorder,(,BD,),.}	{"1 Program in Structural and Molecular Neuroscience , McLean Hospital , Belmont , Massachusetts , United States of America , 2Department of Psychiatry , Harvard Medical School , Boston , Massachusetts , United States of America , 3Program in Neuroscience , Harvard Medical School , Boston , Massachusetts , United States of America",Abstract}	{"To obtain a more detailed understanding of how GAD67 regulation may result in GABAergic dysfunction , we have developed an in vitro model in which GABA cells are differentiated from the hippocampal precursor cell line , HiB5 .","Growth factors , such as PDGF , and BDNF , regulate the GABA phenotype by inducing the expression of GAD67 and stimulating the growth of cellular processes , many with growth cones that form appositions with the cell bodies and processes of other GAD67 — positive cells ."}	0.078
RELATION_GENEHPOTERM_journal.pone.0033431.pdf_120_120_32_32_2_2	FGF2/HP:0009733|Glioma	{32}	{2}	{KD,on,glioma,cell,colony,formation,To,evaluate,the,effect,of,MSI1-KD,on,tumor,cell,colony,formation,in,vitro,",",we,performed,methylcellulose,gel,colonyforming,assays,in,the,presence,of,EGF,and,FGF2,.}	{"Effect of MSI7 .","— ."}	{"Under these conditions , the cells form spherical colonies .","The number of colony ( at a starting density of 2000 cells per well and counting colonies larger than 100 um ) , which indicated progenitor cell proliferation , showed a reduction of 65 % , 84 % , and 58 % in the spheres generated from A / [ SI ] - KD U25lMG , Daoy , and GMl605 cells , respectively ."}	0.024
RELATION_GENEHPOTERM_journal.pone.0044165.pdf_305_305_21_21_33_34	HRS/HP:0005110|Atrial fibrillation	{21}	{33,34}	{Calkins,H,",",Kuck,KH,",",Cappato,R,",",Brugada,],",",Camm,A,],",",et,al.,(,2012,),HRS,/,EHRA/ECAS,Expert,Consensus,Statement,on,Catheter,and,Surgical,Ablation,of,Atrial,Fibrillation,:,recommendations,for,patient,selection,",",procedural}	{"Cardiovasc Pathol Epub ahead of print .","16 ."}	{"PLOS ONE | www .","p | osone.org"}	0.012
RELATION_GENEHPOTERM_journal.pgen.1001283.pdf_2_2_15_15_23_25	PUS10/HP:0002608|Celiac disease	{15}	{23,25}	{A,Meta-Analysis,of,Genome-Wide,Association,Scans,Identifies,|,L18RAP,",",PTPN2,",",TAGAP,",",and,PUS10,As,Shared,Risk,Loci,for,Crohn,’s,Disease,and,Celiac,Disease}	{"OPEN 8 ACCESS Freely available online PLOS GENETICS"}	{"Eleonora A. M. Festen1 ' 2 “’ , Philippe Goyette ” , Todd Green ” , Gabrielle Boucher3 , Claudine Beauchamp3 , Gosia Trynkaz , Patrick C. Duboiss , Caroline Lagacé3 , Pieter C. F. Stokkers ° , Daan W. Hommes7 , Donatella Barisanis , Orazio Palmierig , Vito Annese9 , David A. van Heels , Rinse K. Weersma \\" l * , Mark J. Da | y4 \\" ° ' l , Cisca Wijmengazl , John D. Rioux3 ' ” *","1Department of Gastroenterology and Hepatology , University Medical Centre Groningen , University of Groningen , Groningen , The Netherlands , 2Department of Genetics , University Medical Centre Groningen and University of Groningen , Groningen , The Netherlands , 3 Research Center , Université de Montreal and the Montreal Heart Institute , Montreal , Quebec , Canada , 4The Broad Institute , Cambridge , Massachusetts , United States of America , 5Centre for Digestive Diseases , Blizard Institute of Cell and Molecular Science , Barts and The London School of Medicine and Dentistry , Queen Maw University of London , London , United Kingdom , 6Department of Gastroenterology and Hepatology , Academic Medical Centre , Amsterdam , The Netherlands , 7 Department of Gastroenterology and Hepatology , Leiden University Medical Centre , Leiden , The Netherlands , 8 Department of Experimental Medicine , Faculty of Medicine , University of Milano-Bicocca , Monza , Italy , 9 U. o. Gastroenterologia ed Endoscopia Digestiva , Ospedale ” Casa Sollievo della Sofferenza ” , IRCCS , San Giovanni Rotondo , Italy , 10Center for Human Genetic Research , Massachusetts General Hospital , Harvard Medical School , Boston , Massachusetts , United States of America"}	0.068
RELATION_GENEHPOTERM_journal.pone.0099661.pdf_219_219_9_9_1_2	insulin/HP:0000855|Insulin resistance	{9}	{1,2}	{Overcoming,insulin,resistance,during,surgery,through,exogenous,administration,of,insulin,can,therefore,be,neuroprotective,.}	{"Insulin resistance , the endocrine mechanism responsible for hyperglycemia in the context of surgery , has been linked to poor cognitive performance in nondiabetic subjects [ 24 ] .","Low cognitive scores were observed in middle aged individuals with low insulin sensitivity [ 25 ] ."}	{"This interaction between insulin resistance , cognitive dysfunction and positive effects of insulin administration on memory performance prompted some to suggest that Alzheimer ’s disease could be considered a form of diabetes mellitus of the brain [ 26 ] .","Conversely , the intranasal application of insulin has been demonstrated to improve cognitive function in patients with minimal impairment or overt Alzheimer ’s disease [ 27 ] ."}	0.13
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0074498.pdf_175_175_16_16_13_14_UNSUP	MI/HP:0001658|Myocardial infarction	{16}	{13,14}	{p,—,va,|,ues,are,adjusted,for,age,",",gender,",",previous,myocardial,infarction,(,MI,),and,stroke,",",treatment,modality,and,use,of,nitrates,.}	{"33 percenti | es = 212.5 pg/mL , 66 percenti | es = 293.1 pg/mL .","p — va | ues refer to the comparison of 2 groups dichotomized between second and third tertile ."}	{"doi :10.1371 / journa | .","pone ."}	0.012
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_24929.pdf_483_483_11_11_4_4	GATA1/HP:0001873|Thrombocytopenia	{11}	{4}	{Familial,dyserythropoietic,anaemia,and,thrombocytopenia,due,to,an,inherited,mutation,in,GATA1,.}	{"Nichols , K.E. , Crispino , J.D. , Poncz , M. , White , J.G. , Orkin , S.H. , Maris , J .","M. , Weiss , M.J. , 2000 ."}	{"Nat .","Genet ."}	0.996
RELATION_GENEHPOTERM_journal.pone.0040690.pdf_44_44_29_29_26_26	C32/HP:0002861|Melanoma	{29}	{26}	{To,determine,whether,Elesclomol,treatment,was,linked,to,ROS,produced,during,the,process,of,melanin,synthesis,[,14,],",",we,also,treated,the,amelanotic,metastatic,melanoma,cell,line,C32,with,Elesclomol,.}	{"Elesclomol treatment increases ROS in melanoma cells in non — me | anosoma | structures It has been previously reported that Elesclomol treatment increases ROS in melanoma and other cancer cells , an observation we conﬁrmed in WM1158 metastatic melanoma cells that were treated for 1 hr with increasing doses of Elesclomol ( 20 , 100 , or 500 nM , data not shown ) .","[ 9 ] ."}	{"C32 cells lack functional tyrosinase protein and therefore do not produce melanin in response to ultraviolet irradiation .","As shown in Fig ."}	0.242
RELATION_GENEHPOTERM_journal.pone.0042387.pdf_171_171_11_11_16_16	OPA1/HP:0000501|Glaucoma	{11}	{16}	{In,addition,",",stratiﬁed,analyses,by,ethnicity,were,performed,between,the,OPA1,polymorphisms,and,high,tension,glaucoma,(,HTG,),risk,.}	{"Overall , no evidence of association was observed in any genetic model between the OPA1 IVS8 +4 C > T or IVS8 +32 C > T variants and risk of normal tension glaucoma ( NTG ) in Asians .","In contrast to the results for NTG risk in Asians , the analyses showed signiﬁcant associations between both OPA1 polymorphisms and susceptibility to NTG in Caucasians ( rs 166850 T vs. C OR : 1.70 , 95 % CI 1.25 — 2.31 , P : o. ool ; TT+TC vs. CC OR : 1.70 , 95 % CI 1.22 — 2.38 , P :0.002 ; rs 10451941 C vs. T OR : 1.27 , 95 % CI 1.02 — 1.58 , P :0.031 ; CC vs. TT+TC OR : 1.75 , 95 % CI 1.06 — 2.89 , P : 0.03 ; Figure 4 ) ."}	{"However , no signiﬁcant ﬁnding was noted between either OPA1","A Study ID OR ( 95 % Cl )"}	0.092
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0053342.pdf_384_384_21_21_32_32_UNSUP	AQP2/HP:0000103|Polyuria	{21}	{32}	{Our,ﬁnding,that,AQP5,is,readily,detectable,and,colocalizes,with,AQP2,at,the,perinuclear,region,suggests,that,the,apical,localization,of,AQP2,may,be,impaired,and,contributory,to,the,deterioration,of,glucosuria-induced,polyuria,in,patients,with,DN,.}	{"tetramer formation [ 51 ] .","They are not conserved between the two proteins , mimicking the difference between the \\\\ / VT and mutant AQP2 forms ."}	{"Earlier studies show that compensatory Aqp2 protein abundance increases in rats with streptozotocin-induced diabetic mellitus [ 52 — 54 ] , which apparently differs from the present results .","All of these animals studies were conducted in a relatively short period ranging from day 5 to day 21 following STZ treatment [ 52 — 54 ] ."}	0.936
RELATION_GENEHPOTERM_journal.pgen.1003870.pdf_650_650_25_25_42_44	IL-10/HP:0002725|Systemic lupus erythematosus	{25}	{42,43,44}	{Csiszar,A,",",Nagy,G,",",Gergely,P,",",Pozsonyi,T,",",Pocsik,E,(,2000,),Increased,interferon,»,gamma,(,IFN-gamma,),",",IL-10,and,decreased,IL-4,mRNA,expression,in,peripheral,blood,mononuclear,cells,(,PBMC,),from,patients,with,systemic,lupus,erythematosus,(,SLE,),.}	{"Humaidi l \\\\ ’ I , Raziuddin S ( 1996 ) Interleukin-10 ( IL ~ 10 ) secretion in systemic lupus erythematosus and rheumatoid arthritis : IL-lo ~ dependent CD4-l-CD45RO + T cell-B cell antibody synthesis .","J Clin Immunol 16 : l98 — 207 ."}	{"Clin Exp Immunol 122 : 464 ~ 470 .","Nakano S , l \\\\ ’ Iorimoto S , SuzukiJ , Nozawa K , Amano H , et al. ( 2008 ) Role of pathogenic auto ~ antibody production by Toll ~ like receptor 9 of B cells in active systemic lupus erythematosus ."}	0.01
RELATION_GENEHPOTERM_journal.pone.0011895.pdf_402_402_9_9_36_39	SR/HP:0012251|ST segment elevation	{9}	{36,38,39}	{YusufS,",",Zhao,F,",",l,"\\\\",’,1ehta,SR,",",Chrolavicius,S,",",Tognoni,G,",",et,al.,(,2001,),Effects,of,clopidogrel,in,addition,to,aspirin,in,patients,with,acute,coronary,syndromes,without,ST,—,segment,elevation,.}	{"Steinhubl SR , Berger PB , lVIann JT , 3rd , Fry ET , DeLago A , et al. ( 2002 ) Early and sustained dual oral antiplatelet therapy following percutaneous coronary intervention : a randomized controlled trial .","JANIA 288 : 241 l * 2420 ."}	{"N EnglJ Nled 34.5 : 494 — 502 .","l \\\\ ’ 1ehta SR , Yusuf S , Peters RJ , Bertrand 1 \\\\ ’ IE , Lewis BS , et al. ( 2001 ) Effects of pretreatment with clopidogrel and aspirin followed by long-term therapy in patients undergoing percutaneous coronary intervention : the PCI-CURE study ."}	0
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0023387.pdf_666_666_21_21_53_53_UNSUP	TBS/minute	{21}	{53}	{Embryos,ﬁxed,in,4,%,PFA,for,1,hour,were,sectioned,and,slides,were,washed,3,>,<,5,minutes,in,TBS,(,50,mM,Tris-HCl,pH,"7,4",",",150,mM,NaCl,),and,blocked,with,10,%,FCS,in,TBST,(,TBS,with,o,",",l,%,Triton,X-100,),for,20,minutes,.}	{"( IMAGE clone : 6413283 ) , 0tx2 ( NM_l4484l , nucleotides 338 — 1158 ) , Six6 ( NM_011384 , nucleotides 12fr932 ) , Six3 ' ( BC098096 , nucleotides 771 — 1222 ) , Vsx2 ( IMAGE clone : 6492679 ) , Mtg ‘ ( IMAGE clone : 40047440 ) , Em ] ( NM_007930 , nucleotides 155 — 2637 ) and Nua / < 1 ( NM_001004363 , nucleotides 75 — 2l13 ) .","Immunohistochemistry was performed essentially as previously described [ 49 ] ."}	{"The primary antibodies , rabbit-anti-Lhx2 ( dilution 1:2000 ) [ 50 ] and rabbit-anti-cleaved Caspase-3 ( Asp175 ) ( Cell signalling , dilution 1:1000 ) diluted in TBST with 5 % FCS was applied to slides over night at 4 ° C. After 3 > < 5 minutes washing in TBST the secondary antibody , Cy3conjugated donkey anti-rabbit IgG ( ] ackson ImmunoResearch Laboratories Inc. , dilution 1:1000 ) was added together with DAPI for 1 hour at room temperature .","Slides were subsequently washed 3 > < 5 minutes in TBST before mounting with ﬂuorescence mounting medium ( V ectashield , Vector Laboratories ) ."}	0
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0046057.pdf_30_30_34_35_54_55_UNSUP	insulin_resistance/HP:0000855|Insulin resistance	{34,35}	{54,55}	{Estrogens,",",the,major,female,sex,hormone,",",are,During,eieVeioPnient,or,tYPe,2,diabetes,»,in5iiiin,',Proeiiieing,B,‘,suggested,to,protect,against,development,of,the,metabolic,cells,initially,compensate,for,the,insulin,resistance,by,enhanced,Obesity,is,associated,with,a,chronic,and,systemic,low-grade,inﬂammation,believed,to,contribute,to,development,of,insulin,resistance,[,1,],",",which,",",together,with,B-cell,defects,are,key,signs,of}	{"To and assoeiateei Witn inereaseei ieveis or iniianiinatoiV mediators further compensate for the insulin resistance , human studies of the Siien as tumor neerosis raetor ' ° ‘ > interieiikin ' o ( iifol and murine B-cell mass revealed that when exposed to increased metabolic keratinocyte-derived chemokine ( mKC , the murine ortholog of demands , Le , obesity and pregnancy , the | 3-cell mass increases human interleukin-8 ) in circulation as well as in intra-abdominal [ i57i6 , i7 ] _ indeed ’ failure of this [ 3_eeii adaptation together with adipose depots [ 4 > 5 > ol ~ Tne innarnrnatorY inarkers originate rrorn increased B-cell apoptosis has been suggested to be a contributing both adipocytes and inﬂammatory macrophages inﬁltrating the faetor to the onset of type 2 diabetes H5318 ] .","expanding adipose tissue [ 7 ] , and induce pro-inﬂammatory transcription factors which interfere with the systemic actions of have been deteeted , even though the reasons for this are not inSiiiin > resiiiting in Peripnerai insiiiin resistanee [ til completely clear ."}	{"Obvious sex differences in the susceptibility to various diseases syndrome , and the prevalence of obesity , insulin resistance , and insulin secretion , resulting in high circulating insulin levels .","type 2 diabetes increases in post_menopausai Women [ i9 ] _ Fiirtnerrnorea isiet biooei now nae been Snown to inerease in However , conﬂicting data on circulating levels of inﬂammatory rodent medeis early after Onset ortYPe 2 diabetes l9 > iol ~ inereased markers in women and men during normal conditions and various islet blood perfusion most likely results in amplified shear stress on diseases have been presented ) and the Concentrations Of proPLOS"}	0.048
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0061898.pdf_390_390_0_0_2_3_UNSUP	HCC/HP:0001402|Hepatocellular carcinoma	{0}	{2,3}	{HCC,=,Hepatocellular,carcinoma,.}	{"* denotes a statistically significant ( p < 0.05 ) areas under the curve values relative to a random test ( AUC = O. 5 ) .","Bolded values denote AUC values significantly less than non — bo | ded values in a given row ."}	{"FNH = Focal Nodular Hyperplasia .","ROC AUC : Receiver Operator Characteristic Area Under the Curve Values ."}	0
RELATION_GENEHPOTERM_journal.pone.0104790.pdf_164_164_6_6_30_30	PMCA4/HP:0001251|Ataxia	{6}	{30}	{Furthermore,",",the,protein,product,of,PMCA4,gene,had,indirect,protein-protein,interaction,(,PPI,),and,shared,the,same,biological,pathways,with,some,of,the,68,known,FSP,and,spinocerebellar,ataxias,causal,genes,.}	{"1b ) .","In our patients , we observed that this mutation was surrounded by 4,753 consecutive sequence variants ( covering ~ 61million base-pair ) with identity-by-state allele over 1 , suggesting a long region shared by our patients ."}	{"In the PubMed database , no publication simultaneously mentioning the short listed genes and the disease name or aliases in the title or abstract was found .","The co-segregation of the missense mutation at PMCA4 with disease status in all 6 family members was conﬁrmed by Sanger sequencing ."}	0.388
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0088592.pdf_381_381_7_7_12_12_UNSUP	NS/stdp	{7}	{12}	{lzhikevich,El,"\\\\",’,l,",",Desai,NS,(,2003,),Relating,STDP,to,BCN1,.}	{"Biological Cybernetics 87 : 446 * 458 .","23 ."}	{"Neural Computation","24 ."}	0.086
