OMIM:264800	PSEUDOXANTHOMA ELASTICUM|^|PXE	GRONBLAD STRANDBERG SYNDROME
OMIM:616736	TREMOR HEREDITARY ESSENTIAL 5|^|ETM5	
OMIM:614751	NEURONOPATHY DISTAL HEREDITARY MOTOR TYPE VB|^|HMN5B	HMN VB|^|NEUROPATHY DISTAL HEREDITARY MOTOR TYPE VB|^|DHMN5B|^|DHMN VB|^|SPINAL MUSCULAR ATROPHY DISTAL TYPE VB|^|DSMAVB
OMIM:600145	SACRAL DEFECT WITH ANTERIOR MENINGOCELE	SDAM
OMIM:128980	EARLOBES THICKENED WITH CONDUCTIVE DEAFNESS FROM INCUDOSTAPEDIAL ABNORMALITIES	
OMIM:614752	INTERLEUKIN 6 SERUM LEVEL OF QUANTITATIVE TRAIT LOCUS	IL6 SERUM LEVEL OF QUANTITATIVE TRAIT LOCUS
OMIM:600142	CEREBRAL ARTERIOPATHY AUTOSOMAL RECESSIVE WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY|^|CARASIL	MAEDA SYNDROME|^|SUBCORTICAL VASCULAR ENCEPHALOPATHY PROGRESSIVE|^|CEREBROVASCULAR DISEASE WITH THIN SKIN ALOPECIA AND DISC DISEASE
OMIM:600143	CEROID LIPOFUSCINOSIS NEURONAL 8|^|CLN8	
OMIM:614201	BLEEDING DISORDER PLATELET TYPE 11|^|BDPLT11	
OMIM:616732	OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA MENTAL RETARDATION AND SEIZURES|^|OPA10	
OMIM:616733	COENZYME Q10 DEFICIENCY PRIMARY 8|^|COQ10D8	
OMIM:610460	THIOPURINE S METHYLTRANSFERASE DEFICIENCY|^|TPMTD	TPMT DEFICIENCY|^|THIOPURINES POOR METABOLISM OF
OMIM:311070	CHARCOT MARIE TOOTH DISEASE X LINKED RECESSIVE 5|^|CMTX5	
OMIM:241200	BARTTER SYNDROME ANTENATAL TYPE 2	
OMIM:616738	RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 2|^|RUSAT2	
OMIM:190600	TRIPHALANGEAL THUMB NONOPPOSABLE	
OMIM:102900	ADENOSINE TRIPHOSPHATE ELEVATED OF ERYTHROCYTES	PYRUVATE KINASE HYPERACTIVITY
OMIM:102300	RESTLESS LEGS SYNDROME SUSCEPTIBILITY TO 1|^|RLS1	
OMIM:219500	CYSTATHIONINURIA	CYSTATHIONASE DEFICIENCY
OMIM:602096	ALZHEIMER DISEASE 5	AD5|^|ALZHEIMER DISEASE FAMILIAL 5
OMIM:602097	USHER SYNDROME TYPE IE|^|USH1E	
OMIM:602092	DEAFNESS AUTOSOMAL RECESSIVE 18A|^|DFNB18A	
OMIM:602093	CONE DYSTROPHY 3|^|COD3	RETINAL CONE DYSTROPHY
OMIM:602099	AMYOTROPHIC LATERAL SCLEROSIS 5 JUVENILE|^|ALS5	
OMIM:125852	DIABETES MELLITUS INSULIN DEPENDENT 2	IDDM2
OMIM:125853	DIABETES MELLITUS NONINSULIN DEPENDENT|^|NIDDM	DIABETES MELLITUS TYPE II|^|T2D|^|MATURITY ONSET DIABETES
OMIM:125850	MATURITY ONSET DIABETES OF THE YOUNG TYPE 1|^|MODY1	MODY TYPE 1|^|MILD JUVENILE DIABETES MELLITUS
OMIM:125851	MATURITY ONSET DIABETES OF THE YOUNG TYPE 2|^|MODY2	MODY TYPE 2|^|MODY GLUCOKINASE RELATED
OMIM:147400	INCISORS SHOVEL SHAPED	SINODONTY
OMIM:213100	CEREBELLOPARENCHYMAL DISORDER II|^|CPD2	CPD LATE ONSET RECESSIVE TYPE
OMIM:603147	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ic|^|CDG1C	
OMIM:261515	D BIFUNCTIONAL PROTEIN DEFICIENCY	17 BETA HYDROXYSTEROID DEHYDROGENASE IV DEFICIENCY|^|DBP DEFICIENCY|^|PEROXISOMAL BIFUNCTIONAL ENZYME DEFICIENCY|^|PBFE DEFICIENCY
OMIM:111800	BLOOD GROUP STOLTZFUS SYSTEM|^|Sf	
OMIM:109350	GASTROESOPHAGEAL REFLUX|^|GER	GASTROESOPHAGEAL REFLUX DISEASE|^|GERD|^|GASTROESOPHAGEAL REFLUX PEDIATRIC
OMIM:614973	FOCAL FACIAL DERMAL DYSPLASIA 2 BRAUER SETLEIS TYPE|^|FFDD2	
OMIM:210100	BETA AMINOISOBUTYRIC ACID URINARY EXCRETION OF	BAIB URINARY EXCRETION|^|HYPER BETA AMINOISOBUTYRIC ACIDURIA
OMIM:602540	ICHTHYOSIS HYSTRIX LIKE WITH DEAFNESS	HID SYNDROME
OMIM:230650	GM1 GANGLIOSIDOSIS TYPE III	GANGLIOSIDOSIS GENERALIZED GM1 ADULT TYPE|^|GANGLIOSIDOSIS GENERALIZED GM1 CHRONIC TYPE|^|GANGLIOSIDOSIS GENERALIZED GM1 TYPE III|^|GANGLIOSIDOSIS GENERALIZED GM1 TYPE 3
OMIM:137940	HYPOTRICHOSIS LYMPHEDEMA TELANGIECTASIA RENAL DEFECT SYNDROME|^|HLTRS	GLOMERULONEPHRITIS WITH SPARSE HAIR AND TELANGIECTASES|^|TELANGIECTATIC MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS
OMIM:605021	MYOCLONIC EPILEPSY FAMILIAL INFANTILE|^|FIME	EIM
OMIM:156400	METAPHYSEAL CHONDRODYSPLASIA JANSEN TYPE	METAPHYSEAL CHONDRODYSPLASIA MURK JANSEN TYPE
OMIM:611225	SPASTIC PARAPLEGIA 18 AUTOSOMAL RECESSIVE|^|SPG18	
OMIM:256730	CEROID LIPOFUSCINOSIS NEURONAL 1|^|CLN1	
OMIM:256731	CEROID LIPOFUSCINOSIS NEURONAL 5|^|CLN5	
OMIM:611228	CHARCOT MARIE TOOTH DISEASE TYPE 4J|^|CMT4J	
OMIM:136540	FRAGILE SITE 10q23	
OMIM:605027	LYMPHOMA NON HODGKIN FAMILIAL	NON HODGKIN LYMPHOMA|^|NHL
OMIM:605479	CHOLESTASIS BENIGN RECURRENT INTRAHEPATIC 2|^|BRIC2	
OMIM:163000	CAPILLARY MALFORMATIONS CONGENITAL|^|CMC	NEVI FLAMMEI FAMILIAL MULTIPLE|^|PORT WINE STAIN|^|CAPILLARY MALFORMATIONS|^|CMAL
OMIM:249500	MENTAL RETARDATION AUTOSOMAL RECESSIVE 1|^|MRT1	
OMIM:246700	CHYLOMICRON RETENTION DISEASE|^|CMRD	ANDERSON DISEASE|^|ANDD|^|LIPID TRANSPORT DEFECT OF INTESTINE|^|HYPOBETALIPOPROTEINEMIA WITH ACCUMULATION OF APOLIPOPROTEIN B LIKE PROTEIN IN INTESTINAL CELLS
OMIM:615411	CORTICAL DYSPLASIA COMPLEX WITH OTHER BRAIN MALFORMATIONS 3|^|CDCBM3	
OMIM:615412	CORTICAL DYSPLASIA COMPLEX WITH OTHER BRAIN MALFORMATIONS 4|^|CDCBM4	
OMIM:615413	SPERMATOGENIC FAILURE 12|^|SPGF12	
OMIM:615414	MICROCEPHALY 11 PRIMARY AUTOSOMAL RECESSIVE|^|MCPH11	
OMIM:615147	RETINAL DYSTROPHY IRIS COLOBOMA AND COMEDOGENIC ACNE SYNDROME|^|RDCCAS	
OMIM:183050	SPINOCEREBELLAR ATAXIA WITH RIGIDITY AND PERIPHERAL NEUROPATHY	
OMIM:615145	MICROPHTHALMIA ISOLATED WITH COLOBOMA 9|^|MCOPCB9	
OMIM:615418	MITOCHONDRIAL DNA DEPLETION SYNDROME 12 CARDIOMYOPATHIC TYPE |^|MTDPS12	
OMIM:615419	HYPOTONIA INFANTILE WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES|^|IHPRF	
OMIM:211500	FAZIO LONDE DISEASE	BULBAR PALSY PROGRESSIVE OF CHILDHOOD
OMIM:605019	HYPOBETALIPOPROTEINEMIA FAMILIAL 2|^|FHBL2	HYPOLIPIDEMIA FAMILIAL COMBINED
OMIM:609578	CARDIOMYOPATHY FAMILIAL RESTRICTIVE 2|^|RCM2	
OMIM:609579	SCAPHOCEPHALY MAXILLARY RETRUSION AND MENTAL RETARDATION	
OMIM:609572	PHOTOPAROXYSMAL RESPONSE 2|^|PPR2	
OMIM:609573	PHOTOPAROXYSMAL RESPONSE 3|^|PPR3	
OMIM:605013	MICROHYDRANENCEPHALY|^|MHAC	HYDRANENCEPHALY AND MICROCEPHALY
OMIM:608996	PREMATURE OVARIAN FAILURE 3|^|POF3	
OMIM:608995	DYSLEXIA SUSCEPTIBILITY TO 8|^|DYX8	
OMIM:200990	ACROCALLOSAL SYNDROME|^|ACLS	
OMIM:207410	ANTLEY BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS|^|ABS2	TRAPEZOIDOCEPHALY SYNOSTOSIS SYNDROME|^|MULTISYNOSTOTIC OSTEODYSGENESIS WITH LONG BONE FRACTURES|^|OSTEODYSGENESIS MULTISYNOSTOTIC WITH FRACTURES
OMIM:203750	ALPHA METHYLACETOACETIC ACIDURIA	2 METHYL 3 HYDROXYBUTYRIC ACIDEMIA|^|BETA KETOTHIOLASE DEFICIENCY|^|MITOCHONDRIAL ACETOACETYL CoA THIOLASE DEFICIENCY|^|MAT DEFICIENCY|^|T2 DEFICIENCY|^|3 OXOTHIOLASE DEFICIENCY|^|3 KETOTHIOLASE DEFICIENCY|^|3 KTD DEFICIENCY
OMIM:271650	SPONDYLOEPIMETAPHYSEAL DYSPLASIA IRAPA TYPE|^|SEMDIT	
OMIM:155980	MEMBRANOUS CRANIAL OSSIFICATION DELAYED	
OMIM:206500	ANENCEPHALY	
OMIM:608194	CONE ROD DYSTROPHY 13|^|CORD13	
OMIM:254600	MYELOPEROXIDASE DEFICIENCY|^|MPOD	MPO DEFICIENCY
OMIM:600791	DEAFNESS AUTOSOMAL RECESSIVE 4 WITH ENLARGED VESTIBULAR AQUEDUCT|^|DFNB4	
OMIM:600790	CHORIORETINAL ATROPHY PROGRESSIVE BIFOCAL	CRAPB|^|PBCRA
OMIM:600792	DEAFNESS AUTOSOMAL RECESSIVE 5|^|DFNB5	
OMIM:600795	FRONTOTEMPORAL DEMENTIA CHROMOSOME 3 LINKED|^|FTD3	DMT1|^|DEM|^|DEMENTIA FAMILIAL NONSPECIFIC
OMIM:180500	AXENFELD RIEGER SYNDROME TYPE 1|^|RIEG1	RIEGER SYNDROME TYPE 1|^|RIEG|^|RGS
OMIM:616192	ATAXIA COMBINED CEREBELLAR AND PERIPHERAL WITH HEARING LOSS AND DIABETES MELLITUS|^|ACPHD	
OMIM:616193	MENTAL RETARDATION AUTOSOMAL RECESSIVE 47|^|MRT47	
OMIM:616198	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 23|^|COXPD23	
OMIM:616199	POLYGLUCOSAN BODY MYOPATHY 2|^|PGBM2	
OMIM:613818	MUSCULAR DYSTROPHY DYSTROGLYCANOPATHY LIMB GIRDLE TYPE C 9|^|MDDGC9	
OMIM:613819	SHORT RIB THORACIC DYSPLASIA 4 WITH OR WITHOUT POLYDACTYLY|^|SRTD4	
OMIM:556500	PARKINSON DISEASE MITOCHONDRIAL	
OMIM:613812	BILE ACID SYNTHESIS DEFECT CONGENITAL 3|^|CBAS3	
OMIM:608224	DEAFNESS AUTOSOMAL DOMINANT 41|^|DFNA41	
OMIM:613810	RETINITIS PIGMENTOSA 43|^|RP43	
OMIM:613811	PONTOCEREBELLAR HYPOPLASIA TYPE 2D|^|PCH2D	
OMIM:608220	SPASTIC PARAPLEGIA 25 AUTOSOMAL RECESSIVE|^|SPG25	
OMIM:601846	VACUOLAR NEUROMYOPATHY	MUSCULAR DYSTROPHY AUTOSOMAL DOMINANT WITH RIMMED VACUOLES|^|MDRV
OMIM:601847	CHOLESTASIS PROGRESSIVE FAMILIAL INTRAHEPATIC 2|^|PFIC2	
OMIM:616339	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE 29|^|EIEE29	
OMIM:188570	THYROID HORMONE RESISTANCE GENERALIZED AUTOSOMAL DOMINANT|^|GRTH	GTHR|^|THYROID HORMONE UNRESPONSIVENESS|^|HYPERTHYROXINEMIA FAMILIAL EUTHYROID SECONDARY TO PITUITARY AND PERIPHERAL RESISTANCE TO THYROID HORMONES
OMIM:616449	BASEL VANAGAITE SMIRIN YOSEF SYNDROME|^|BVSYS	
OMIM:616330	MYASTHENIC SYNDROME CONGENITAL 18|^|CMS18	
OMIM:616331	ROBINOW SYNDROME AUTOSOMAL DOMINANT 2|^|DRS2	
OMIM:606394	MATURITY ONSET DIABETES OF THE YOUNG TYPE 6|^|MODY6	MODY TYPE 6
OMIM:616335	MICROCEPHALY AND CHORIORETINOPATHY AUTOSOMAL RECESSIVE 3|^|MCCRP3	
OMIM:612621	MENTAL RETARDATION AUTOSOMAL DOMINANT 5|^|MRD5	
OMIM:209100	ATONIC ASTATIC SYNDROME OF FOERSTER	
OMIM:272650	TATSUMI FACTOR DEFICIENCY	
OMIM:607417	MENTAL RETARDATION AUTOSOMAL RECESSIVE 2|^|MRT2	
OMIM:217100	CONSTRICTING BANDS CONGENITAL	AMNIOTIC BAND SEQUENCE|^|ABS|^|STREETER ANOMALY
OMIM:607411	PATENT DUCTUS ARTERIOSUS	PDA|^|PDA1
OMIM:201810	3 BETA HYDROXYSTEROID DEHYDROGENASE TYPE II DEFICIENCY OF	3 BETA HYDROXYSTEROID DEHYDROGENASE DEFICIENCY|^|3 BETA HSD DEFICIENCY|^|HSDB|^|ADRENAL HYPERPLASIA II
OMIM:153200	LYMPHEDEMA HEREDITARY II|^|LMPH2	
OMIM:601154	CARDIOMYOPATHY DILATED 1E|^|CMD1E	
OMIM:167800	PANCREATITIS HEREDITARY|^|PCTT	HPC|^|HP|^|PANCREATITIS CHRONIC
OMIM:300406	FG SYNDROME 3|^|FGS3	
OMIM:300400	SEVERE COMBINED IMMUNODEFICIENCY X LINKED|^|SCIDX1	SEVERE COMBINED IMMUNODEFICIENCY X LINKED T CELL NEGATIVE B CELL POSITIVE NK CELL NEGATIVE|^|SCIDX|^|XSCID|^|SCID X LINKED|^|IMMUNODEFICIENCY 4|^|IMD4
OMIM:126800	DUANE RETRACTION SYNDROME 1|^|DURS1	
OMIM:252605	MUCOLIPIDOSIS III GAMMA	ML III GAMMA|^|MUCOLIPIDOSIS III COMPLEMENTATION GROUP C|^|MUCOLIPIDOSIS IIIC|^|ML IIIC|^|MUCOLIPIDOSIS III IRANIAN VARIANT FORM|^|MUCOLIPIDOSIS III VARIANT FORM
OMIM:253601	MUSCULAR DYSTROPHY LIMB GIRDLE TYPE 2B|^|LGMD2B	
OMIM:253600	MUSCULAR DYSTROPHY LIMB GIRDLE TYPE 2A|^|LGMD2A	
OMIM:252600	MUCOLIPIDOSIS III ALPHA BETA	ML III ALPHA BETA|^|MUCOLIPIDOSIS IIIA|^|ML IIIA|^|MUCOLIPIDOSIS III|^|ML III|^|PSEUDO HURLER POLYDYSTROPHY
OMIM:615885	HYPOTRICHOSIS 12|^|HYPT12	
OMIM:613678	BRACHYOLMIA TYPE 2|^|BCYM2	BRACHYOLMIA MAROTEAUX TYPE
OMIM:613679	PROTHROMBIN DEFICIENCY CONGENITAL	HYPOPROTHROMBINEMIA
OMIM:177200	LIDDLE SYNDROME|^|LIDLS	PSEUDOALDOSTERONISM
OMIM:613677	HYPERALDOSTERONISM FAMILIAL TYPE III	FH III
OMIM:613674	VESICOURETERAL REFLUX 3|^|VUR3	
OMIM:613675	CHROMOSOME 17q11 2 DELETION SYNDROME 1 4 MB	NEUROFIBROMATOSIS 1 MICRODELETION SYNDROME|^|NF1 MICRODELETION SYNDROME|^|VAN ASPEREN SYNDROME
OMIM:613672	SPASTIC ATAXIA 4 AUTOSOMAL RECESSIVE|^|SPAX4	
OMIM:613673	ANEMIA CONGENITAL DYSERYTHROPOIETIC TYPE IV|^|CDAN4	
OMIM:613670	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES	
OMIM:613671	MENTAL RETARDATION ANTERIOR MAXILLARY PROTRUSION AND STRABISMUS|^|MRAMS	
OMIM:615881	PLASMA TRIGLYCERIDE LEVEL QUANTITATIVE TRAIT LOCUS|^|TGQTL	
OMIM:214100	PEROXISOME BIOGENESIS DISORDER 1A ZELLWEGER |^|PBD1A	
OMIM:214450	GRISCELLI SYNDROME TYPE 1|^|GS1	
OMIM:610896	BRANCHIOOTORENAL SYNDROME 2|^|BOR2	
OMIM:103420	ALACRIMA CONGENITAL	ALACRIMIA CONGENITA
OMIM:610898	SUPRANUCLEAR PALSY PROGRESSIVE 3|^|PSNP3	
OMIM:606232	PHELAN MCDERMID SYNDROME|^|PHMDS	CHROMOSOME 22q13 3 DELETION SYNDROME|^|TELOMERIC 22q13 MONOSOMY SYNDROME
OMIM:609015	MITOCHONDRIAL TRIFUNCTIONAL PROTEIN DEFICIENCY|^|MTPD	TRIFUNCTIONAL PROTEIN DEFICIENCY
OMIM:609016	LONG CHAIN 3 HYDROXYACYL CoA DEHYDROGENASE DEFICIENCY	LCHAD DEFICIENCY
OMIM:603552	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS FAMILIAL 4|^|FHL4	HPLH4|^|HLH4
OMIM:603553	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS FAMILIAL 2|^|FHL2	HPLH2|^|HLH2
OMIM:603554	OMENN SYNDROME	RETICULOENDOTHELIOSIS FAMILIAL WITH EOSINOPHILIA|^|SEVERE COMBINED IMMUNODEFICIENCY WITH HYPEREOSINOPHILIA
OMIM:201100	ACRODERMATITIS ENTEROPATHICA ZINC DEFICIENCY TYPE|^|AEZ	
OMIM:610099	MYOPATHY DISTAL 3|^|MPD3	
OMIM:610093	MICROPHTHALMIA ISOLATED 2|^|MCOP2	
OMIM:610092	MICROPHTHALMIA ISOLATED WITH COLOBOMA 3|^|MCOPCB3	
